statename,2021-08-16
Alabama,-0.7283895205725606
Arizona,-1.1776015706378702
Arkansas,2.5089199203886556
California,-0.1916224397556313
Colorado,0.024807031066738316
Connecticut,0.3205512327218377
Delaware,0.14670612474597833
Florida,-3.7114843949474623
Georgia,0.6727486644223502
Idaho,0.47963720242008967
Illinois,0.0789152561419546
Indiana,1.1246557147693164
Iowa,0.31695017860142555
Kansas,0.7845753275185192
Kentucky,-0.47963607516869355
Louisiana,2.765694254712696
Maine,0.6376545196314697
Maryland,-0.33081473051832055
Massachusetts,0.7461523256293314
Michigan,0.4005264118631117
Minnesota,0.3039712013630881
Mississippi,2.016028095367537
Missouri,-0.7681207362898137
Montana,-0.26732800049616046
Nebraska,0.664655173941736
Nevada,1.298635523655296
New Hampshire,0.42025737191842333
New Jersey,0.032167099072895944
New Mexico,-0.5450406985296097
New York,0.3084268222152231
North Carolina,0.29965979895442696
North Dakota,0.7498452506863895
Ohio,-0.07332838774095995
Oklahoma,0.7942583210382743
Oregon,0.2032234008765499
Pennsylvania,0.189702664841489
Rhode Island,0.4045565473633903
South Carolina,0.13873089751843226
South Dakota,-0.6459308857181936
Tennessee,1.7990044309479132
Texas,1.3203845844764743
Utah,-0.13367967658073776
Vermont,-0.4578835295402414
Virginia,0.08368392294431237
Washington,0.39396482655764153
West Virginia,-0.5579899416733114
Wisconsin,0.17174947796746182
Wyoming,-0.7405006722511935
