date,region,cliAdmissions,testPositivity,positiveTests,totalTests,surge,icu
2020-06-18T00:00:00,4,5.0,4.7,46,1322,0.366180982,0.440203562
2020-06-18T00:00:00,5,2.0,1.4,11,725,0.466233117,0.510714286
2020-06-18T00:00:00,6,3.0,1.3,14,2592,0.43450103,0.563670412
2020-06-18T00:00:00,7,9.0,3.7,49,1904,0.365853659,0.331417625
2020-06-18T00:00:00,8,11.0,4.2,80,2295,0.32575889,0.455981941
2020-06-18T00:00:00,9,7.0,4.2,75,1717,0.382875143,0.557271557
2020-06-18T00:00:00,10,26.0,5.2,220,4503,0.294990564,0.350877193
2020-06-18T00:00:00,11,42.0,5.8,299,5108,0.319166296,0.413399197
2020-06-18T00:00:00,14,0.0,1.3,14,2592,,
2020-06-19T00:00:00,1,4.0,5.6,47,679,0.4875,0.565982405
2020-06-19T00:00:00,2,4.0,1.7,34,2043,0.432783433,0.515743757
2020-06-19T00:00:00,3,1.0,1.2,8,1431,0.40994152,0.5125
2020-06-19T00:00:00,4,5.0,4.0,57,1863,0.387034906,0.498727735
2020-06-19T00:00:00,5,2.0,1.3,11,652,0.489535477,0.565517241
2020-06-19T00:00:00,6,3.0,1.2,19,2149,0.41842723,0.556179775
2020-06-19T00:00:00,7,9.0,3.7,65,1592,0.36300813,0.333333333
2020-06-19T00:00:00,8,11.0,4.1,107,2640,0.31870229,0.462001505
2020-06-19T00:00:00,9,7.0,3.9,56,1472,0.374570447,0.553410553
2020-06-19T00:00:00,10,25.0,5.3,311,5020,0.28787099,0.350791717
2020-06-19T00:00:00,11,43.0,5.8,316,5107,0.311674826,0.402906617
2020-06-19T00:00:00,14,0.0,1.2,19,2149,,
2020-06-20T00:00:00,1,4.0,5.2,63,1410,0.497533474,0.571851852
2020-06-20T00:00:00,2,4.0,1.8,36,1529,0.430514385,0.533116178
2020-06-20T00:00:00,3,1.0,1.1,8,723,0.41937372,0.55
2020-06-20T00:00:00,4,5.0,4.0,45,1108,0.374376678,0.526717557
2020-06-20T00:00:00,5,2.0,1.3,10,485,0.51417004,0.593103448
2020-06-20T00:00:00,6,3.0,1.1,12,1044,0.429284038,0.531835206
2020-06-20T00:00:00,7,9.0,3.7,76,1515,0.347154472,0.356321839
2020-06-20T00:00:00,8,11.0,4.3,160,2687,0.3358313,0.47103085
2020-06-20T00:00:00,9,7.0,4.0,81,1557,0.380870561,0.554697555
2020-06-20T00:00:00,10,25.0,5.3,277,4873,0.284697204,0.363232323
2020-06-20T00:00:00,11,41.0,5.6,288,5959,0.311618935,0.409638554
2020-06-20T00:00:00,14,0.0,1.1,12,1044,,
2020-06-21T00:00:00,1,4.0,5.0,22,773,0.517618041,0.608888889
2020-06-21T00:00:00,2,4.0,1.9,32,1243,0.443095866,0.552516411
2020-06-21T00:00:00,3,2.0,1.0,7,711,0.4390744,0.591666667
2020-06-21T00:00:00,4,5.0,3.7,15,478,0.367855773,0.531806616
2020-06-21T00:00:00,5,2.0,1.3,0,234,0.543401907,0.60899654
2020-06-21T00:00:00,6,3.0,1.2,23,1220,0.440857059,0.529962547
2020-06-21T00:00:00,7,8.0,3.7,39,1199,0.354471545,0.38697318
2020-06-21T00:00:00,8,11.0,4.3,91,1857,0.369508139,0.490594432
2020-06-21T00:00:00,9,7.0,3.9,40,1660,0.406071019,0.553410553
2020-06-21T00:00:00,10,25.0,5.3,196,3860,0.300566135,0.381414141
2020-06-21T00:00:00,11,38.0,5.2,144,3978,0.336425709,0.40154321
2020-06-21T00:00:00,14,0.0,1.2,23,1220,,
2020-06-22T00:00:00,1,4.0,5.1,37,651,0.522903453,0.625185185
2020-06-22T00:00:00,2,3.0,1.9,29,1480,0.458846635,0.58213892
2020-06-22T00:00:00,3,2.0,1.0,9,1197,0.450205038,0.5875
2020-06-22T00:00:00,4,4.0,3.7,30,922,0.351361718,0.511450382
2020-06-22T00:00:00,5,2.0,1.3,5,370,0.537157107,0.591695502
2020-06-22T00:00:00,6,3.0,1.3,21,1014,0.459507042,0.558052434
2020-06-22T00:00:00,7,8.0,3.7,46,982,0.369918699,0.417624521
2020-06-22T00:00:00,8,11.0,4.3,90,2252,0.396097046,0.500376223
2020-06-22T00:00:00,9,7.0,4.0,73,1639,0.420962199,0.563706564
2020-06-22T00:00:00,10,25.0,5.4,219,3624,0.313775948,0.410505051
2020-06-22T00:00:00,11,36.0,5.1,206,4426,0.348626578,0.415636588
2020-06-22T00:00:00,14,0.0,1.3,21,1014,,
2020-06-23T00:00:00,1,4.0,4.7,25,989,0.494714588,0.631111111
2020-06-23T00:00:00,2,4.0,2.0,48,2323,0.464117434,0.57
2020-06-23T00:00:00,3,2.0,1.2,45,2091,0.430123312,0.541666667
2020-06-23T00:00:00,4,4.0,4.2,124,2082,0.355444785,0.51653944
2020-06-23T00:00:00,5,2.0,1.5,14,709,0.508551308,0.555172414
2020-06-23T00:00:00,6,4.0,1.2,32,2233,0.447861746,0.556179775
2020-06-23T00:00:00,7,9.0,3.7,39,1168,0.354471545,0.438697318
2020-06-23T00:00:00,8,11.0,4.2,107,2818,0.373417722,0.488337096
2020-06-23T00:00:00,9,8.0,3.8,37,1484,0.407502864,0.562419562
2020-06-23T00:00:00,10,22.0,5.4,241,4860,0.313432836,0.400808081
2020-06-23T00:00:00,11,35.0,4.9,212,5331,0.341202673,0.41924505
2020-06-23T00:00:00,14,0.0,1.2,32,2233,,
2020-06-24T00:00:00,1,3.0,4.5,50,1143,0.470401691,0.622222222
2020-06-24T00:00:00,2,5.0,1.9,48,2656,0.453340595,0.558985667
2020-06-24T00:00:00,3,1.0,1.2,13,2233,0.399646851,0.502083333
2020-06-24T00:00:00,4,3.0,3.8,67,2249,0.33691894,0.488549618
2020-06-24T00:00:00,5,2.0,1.7,22,1188,0.483180428,0.536082474
2020-06-24T00:00:00,6,4.0,1.2,29,2189,0.440933255,0.558052434
2020-06-24T00:00:00,7,9.0,3.8,47,1207,0.317886179,0.408045977
2020-06-24T00:00:00,8,12.0,4.3,100,2700,0.337552743,0.455981941
2020-06-24T00:00:00,9,8.0,3.7,76,2303,0.388029782,0.562419562
2020-06-24T00:00:00,10,21.0,5.2,228,5532,0.302317567,0.393535354
2020-06-24T00:00:00,11,35.0,4.8,301,6571,0.318040089,0.423791822
2020-06-24T00:00:00,14,0.0,1.2,29,2189,,
2020-06-25T00:00:00,1,4.0,4.1,36,1161,0.451726568,0.622222222
2020-06-25T00:00:00,2,4.0,2.1,52,1768,0.4399126,0.510940919
2020-06-25T00:00:00,3,1.0,1.0,14,1667,0.371394938,0.491666667
2020-06-25T00:00:00,4,2.0,3.9,36,846,0.338461538,0.503816794
2020-06-25T00:00:00,5,1.0,2.0,20,428,0.468315301,0.52233677
2020-06-25T00:00:00,6,4.0,1.5,35,1745,0.424612634,0.546816479
2020-06-25T00:00:00,7,9.0,4.2,106,2309,0.300813008,0.385057471
2020-06-25T00:00:00,8,12.0,4.3,123,3008,0.314014752,0.427059713
2020-06-25T00:00:00,9,7.0,3.5,68,2173,0.379725086,0.537966538
2020-06-25T00:00:00,10,22.0,5.3,311,6072,0.284094843,0.371717172
2020-06-25T00:00:00,11,33.0,4.7,347,6933,0.310541945,0.423482032
2020-06-25T00:00:00,14,0.0,1.5,35,1745,,
2020-06-26T00:00:00,1,4.0,3.8,46,1220,0.458773784,0.634074074
2020-06-26T00:00:00,2,5.0,2.5,92,2218,0.443227455,0.497285559
2020-06-26T00:00:00,3,1.0,1.3,29,1373,0.374633001,0.510416667
2020-06-26T00:00:00,4,2.0,4.5,82,1230,0.356673114,0.498727735
2020-06-26T00:00:00,5,1.0,2.1,11,519,0.475180972,0.542955326
2020-06-26T00:00:00,6,4.0,1.6,24,1739,0.433473811,0.559925094
2020-06-26T00:00:00,7,9.0,4.6,108,1671,0.295934959,0.367816092
2020-06-26T00:00:00,8,12.0,4.3,117,3117,0.315614035,0.432042521
2020-06-26T00:00:00,9,8.0,3.4,56,1807,0.394902635,0.528957529
2020-06-26T00:00:00,10,21.0,4.9,251,6451,0.278487614,0.372121212
2020-06-26T00:00:00,11,31.0,4.7,396,7307,0.308285164,0.425868486
2020-06-26T00:00:00,14,0.0,1.6,24,1739,,
2020-06-27T00:00:00,1,5.0,3.6,33,954,0.475334743,0.651851852
2020-06-27T00:00:00,2,5.0,2.7,66,1670,0.443410004,0.479913138
2020-06-27T00:00:00,3,1.0,1.2,7,818,0.381956649,0.55
2020-06-27T00:00:00,4,2.0,4.7,50,826,0.404114907,0.549618321
2020-06-27T00:00:00,5,1.0,2.2,12,331,0.486068111,0.553264605
2020-06-27T00:00:00,6,3.0,1.6,38,2516,0.429433052,0.565543071
2020-06-27T00:00:00,7,9.0,4.7,75,1292,0.309349593,0.377394636
2020-06-27T00:00:00,8,12.0,4.0,81,1771,0.332807571,0.456903127
2020-06-27T00:00:00,9,7.0,3.1,49,2002,0.411206897,0.533505155
2020-06-27T00:00:00,10,21.0,4.8,196,4053,0.281182095,0.382626263
2020-06-27T00:00:00,11,31.0,4.7,327,6716,0.323433806,0.436057392
2020-06-27T00:00:00,14,0.0,1.6,38,2516,,
