statename,2022-01-06
Alabama,1030.9042562567565
Arizona,678.4162648444775
Arkansas,1184.541569205384
California,944.0044485908649
Colorado,603.629486946937
Connecticut,821.4125338497092
Delaware,1700.0305735563975
Florida,895.7315062702232
Georgia,667.0033908281835
Idaho,278.429396004862
Illinois,696.0325591720402
Indiana,464.84354882521995
Iowa,553.213897450317
Kansas,1021.6641843030209
Kentucky,872.8097538536439
Louisiana,1049.4580499188146
Maine,33.26431077410825
Maryland,569.355780845638
Massachusetts,1369.9563963089424
Michigan,868.9992685958582
Minnesota,347.71772342592567
Mississippi,1253.2974659534852
Missouri,838.0895524500304
Montana,409.4128327598702
Nebraska,644.1247141244246
Nevada,538.8409826366865
New Hampshire,483.821299421085
New Jersey,1234.251591427017
New Mexico,505.79776823547775
New York,942.3614377997792
North Carolina,1110.3893850256295
North Dakota,920.8099678428863
Ohio,563.0153610750922
Oklahoma,659.1983038108117
Oregon,586.1640292615955
Pennsylvania,895.4188960123977
Rhode Island,1807.828357984537
South Carolina,1504.8695377414358
South Dakota,906.0795499411963
Tennessee,972.1317897094352
Texas,1303.5595346407008
Utah,993.0617574261065
Vermont,904.5489126067466
Virginia,672.9358979643935
Washington,641.9375445309229
West Virginia,920.6834037609635
Wisconsin,715.1402906168007
Wyoming,625.9699016096756
