statename,2020-12-09
Alabama,6.5992090563874
Arizona,5.466033957044117
Arkansas,7.739781263840481
California,2.4730141281670157
Colorado,5.1102483997480395
Connecticut,7.192368284196235
Delaware,3.154181682038535
Florida,4.103917332764487
Georgia,4.197951665995465
Idaho,7.993953373668158
Illinois,12.248775114033393
Indiana,10.6948392498818
Iowa,16.9794738536478
Kansas,10.738874795409723
Kentucky,4.5245669757580105
Louisiana,5.131899339300227
Maine,2.9757210916135253
Maryland,5.2457764410762255
Massachusetts,5.824133430606726
Michigan,10.985867296816776
Minnesota,9.296452575021107
Mississippi,7.104099002723702
Missouri,7.064383135271461
Montana,7.9530080147607825
Nebraska,12.074568993274871
Nevada,7.2584449804304905
New Hampshire,2.941801603428964
New Jersey,5.275404247954936
New Mexico,12.672196240813426
New York,3.3853515486004264
North Carolina,3.561865337571939
North Dakota,18.090016672809153
Ohio,5.579068167291384
Oklahoma,4.78360125170779
Oregon,4.115273867750137
Pennsylvania,9.301010067375357
Rhode Island,10.046487592857526
South Carolina,4.092561476793734
South Dakota,24.06092549300271
Tennessee,7.373826301269063
Texas,5.249514084924191
Utah,3.5870713215831276
Vermont,2.518359412471328
Virginia,2.284571096379728
Washington,2.598291832296827
West Virginia,8.210423427478723
Wisconsin,9.801988064000136
Wyoming,10.36700941151671
