,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,deaths,count,count,count,count,count,count,count,count,count,count,count,count,tested,tested,tested,tested,tested,tested,tested,tested,tested,tested,tested,tested,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_7day,deaths_7day,deaths_7day,deaths_7day,deaths_7day,deaths_7day,deaths_7day,deaths_7day,deaths_7day,deaths_7day,deaths_7day,deaths_7day,count_7day,count_7day,count_7day,count_7day,count_7day,count_7day,count_7day,count_7day,count_7day,count_7day,count_7day,count_7day,tested_7day,tested_7day,tested_7day,tested_7day,tested_7day,tested_7day,tested_7day,tested_7day,tested_7day,tested_7day,tested_7day,tested_7day,percentage_7day,percentage_7day,percentage_7day,percentage_7day,percentage_7day,percentage_7day,percentage_7day,percentage_7day,percentage_7day,percentage_7day,percentage_7day,percentage_7day,deaths_per_million_7day,deaths_per_million_7day,deaths_per_million_7day,deaths_per_million_7day,deaths_per_million_7day,deaths_per_million_7day,deaths_per_million_7day,deaths_per_million_7day,deaths_per_million_7day,deaths_per_million_7day,deaths_per_million_7day,deaths_per_million_7day,deaths_14day,deaths_14day,deaths_14day,deaths_14day,deaths_14day,deaths_14day,deaths_14day,deaths_14day,deaths_14day,deaths_14day,deaths_14day,deaths_14day,count_14day,count_14day,count_14day,count_14day,count_14day,count_14day,count_14day,count_14day,count_14day,count_14day,count_14day,count_14day,tested_14day,tested_14day,tested_14day,tested_14day,tested_14day,tested_14day,tested_14day,tested_14day,tested_14day,tested_14day,tested_14day,tested_14day,percentage_14day,percentage_14day,percentage_14day,percentage_14day,percentage_14day,percentage_14day,percentage_14day,percentage_14day,percentage_14day,percentage_14day,percentage_14day,percentage_14day,deaths_per_million_14day,deaths_per_million_14day,deaths_per_million_14day,deaths_per_million_14day,deaths_per_million_14day,deaths_per_million_14day,deaths_per_million_14day,deaths_per_million_14day,deaths_per_million_14day,deaths_per_million_14day,deaths_per_million_14day,deaths_per_million_14day,population,population,population,population,population,population,population,population,population,population,population,population
2020-04-23,641,21,1688,42,21,126,22,138,8,501,157,11,15073,354,36934,755,531,2959,793,2174,223,10738,2910,232,0,0,173316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-04-24,678,21,1795,45,23,132,22,146,9,542,164,12,16112,375,39658,843,584,3176,867,2306,237,11504,3181,255,0,0,186219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-04-25,708,23,1874,53,25,143,22,154,9,559,165,13,17109,380,41777,879,643,3381,925,2359,241,11949,3360,277,0,0,201617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-04-26,740,23,1933,53,25,146,22,156,12,573,170,13,17865,388,43903,961,669,3503,962,2430,263,12709,3552,293,0,0,214952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-04-27,772,25,1983,54,26,146,24,159,15,575,172,15,18682,396,45883,980,726,3618,1003,2482,267,13271,3813,307,0,0,227628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-04-28,803,25,2125,56,28,154,25,169,16,654,180,15,19594,412,48102,1048,778,3744,1067,2567,282,13855,4044,376,0,0,242189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-04-29,851,28,2215,61,28,161,27,173,18,665,187,16,20413,429,50355,1090,830,3970,1134,2695,298,14467,4282,393,0,0,256667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-04-30,894,30,2355,66,29,172,28,176,19,713,211,16,21491,441,52910,1156,919,4130,1191,2830,342,15022,4607,411,0,0,269867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-01,945,30,2457,69,30,177,28,183,21,728,226,18,22718,463,56055,1188,1002,4432,1241,2967,366,15950,4933,432,0,0,284688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-02,978,30,2559,72,32,179,28,190,23,765,242,19,23616,499,58505,1210,1076,4668,1320,3154,381,16611,5235,457,0,0,299896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-03,1009,30,2618,75,37,182,28,188,24,777,249,19,24864,525,61499,1287,1174,4899,1387,3226,411,17460,5546,463,0,0,319313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-04,1021,32,2662,79,38,189,29,194,24,781,253,19,25805,540,63840,1304,1256,5042,1450,3449,416,17910,5918,473,104885,9009,333147,7156,9622,19517,15495,18871,5613,79625,28663,9142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-05,1068,32,2838,89,39,191,36,205,25,854,272,23,26606,581,65962,1341,1289,5172,1469,3543,425,18617,6124,486,108872,9281,346286,7224,10004,20111,16426,19463,5647,82311,29926,9370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-06,1112,32,2974,91,40,204,41,216,25,892,294,23,27440,598,68232,1391,1372,5343,1548,3748,462,19249,6387,521,112588,9909,361260,7436,10496,20771,17335,20407,5953,85360,31351,10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-07,1184,33,3111,94,42,209,43,222,26,926,305,24,28441,637,70873,1446,1467,5619,1606,3862,479,19900,6711,532,117295,10405,379043,7729,11030,22355,18488,21152,6207,88752,33219,10575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-08,1248,35,3241,98,43,218,45,228,27,949,320,28,29535,669,73760,1486,1582,5882,1667,4019,497,20701,7042,560,122700,10916,399714,8202,11779,23449,19869,22047,6549,93437,34680,11304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-09,1289,36,3349,104,46,225,50,231,27,975,335,28,30393,691,76085,1548,1661,6135,1716,4115,511,21281,7311,573,127332,11362,416331,8756,12531,24724,20821,22733,6821,96639,36164,11843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-10,1337,36,3406,105,47,224,51,232,27,980,337,28,30950,712,77741,1586,1729,6190,1775,4224,524,21705,7606,577,130868,11816,429984,9143,13029,25248,22066,23369,7185,99404,37533,12299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-11,1376,37,3459,107,48,225,51,232,27,985,341,28,31327,749,79007,1607,1765,6281,1799,4297,524,22054,7871,583,133666,12260,442425,9449,13549,25717,22811,24289,7450,102367,38788,12659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-12,1441,39,3601,112,55,240,55,241,27,1008,351,30,32557,798,83021,1629,2085,6688,1878,4479,526,22913,8713,608,140367,12621,471691,9552,16693,28248,24380,25529,7576,108019,43206,13472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-13,1493,40,3792,122,60,250,55,245,28,1096,369,32,33074,827,84698,1663,2161,6807,1923,4580,599,23332,8988,612,144058,13474,489359,9956,17727,29277,25570,26445,8269,110923,45386,14050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-14,1552,42,3928,124,60,259,57,262,30,1123,383,33,34341,847,87937,1717,2315,7075,1967,4713,615,24116,9448,632,148581,14184,512037,10413,18739,31274,26647,27476,8837,115250,47740,15422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-15,1606,44,4058,129,62,269,61,268,33,1156,394,34,35183,887,90369,1733,2409,7280,2032,4924,625,24722,9793,645,155725,16197,538602,11066,19844,32619,28250,28830,9282,120215,49876,16722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-16,1620,45,4129,133,63,271,62,271,33,1194,402,34,36006,926,92457,1776,2485,7538,2091,4969,636,25206,10043,649,161716,17028,561649,11661,20843,34312,29445,29729,9710,124890,52337,18383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-17,1636,44,4177,136,65,277,64,271,33,1203,413,34,36621,976,94191,1807,2579,7668,2142,5057,638,25597,10300,655,166152,17947,581944,12115,21642,35862,30731,30625,9931,129072,54508,18852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-18,1681,45,4234,137,67,277,65,271,33,1208,415,34,37434,1007,96485,1823,2664,7854,2197,5128,639,26256,10660,662,171515,18857,603241,12309,22645,37225,32024,31657,10193,133460,57177,19860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-19,1729,48,4379,143,72,285,70,278,33,1251,435,34,37919,1028,98030,1854,2714,7933,2236,5253,647,26772,10853,664,176024,19389,621684,12621,23206,38191,33717,32310,10539,137341,58868,20490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-20,1787,48,4525,146,73,297,73,283,34,1287,462,34,38839,1074,100418,1893,2788,8160,2282,5397,653,27374,11121,675,184163,20497,642713,13748,24144,39700,34946,34618,10842,143683,61769,22652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-21,1814,48,4607,148,79,304,78,290,33,1300,477,35,39755,1116,102686,1929,2897,8410,2311,5506,658,27796,11452,682,191989,21719,672020,14381,25451,42183,36404,35698,11267,149334,64587,24146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
2020-05-22,1850,48,4715,150,82,316,81,295,33,1337,487,35,40465,1149,105444,1966,3048,8614,2389,5682,675,28484,12071,683,198741,22863,697133,15092,28171,44088,38331,39222,11605,156987,70094,24723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706000,739098,12600000,656946,660965,1004309,1184936,800605,403659,2444233,1455324,556776
