,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease
2020-11-01,279.06059312175944,1124.4303885221395,201.72314905026727,187.12755557162944,91.6063727563855,385.30280652857545,292.0221730095942,191.15808054400978,179.54582396048127,203.3667300636535,131.79146336033838,61.446232427790086,589.6340008417633,559.8473742870669,477.999898696106,701.0485164694103,478.7870936181761,433.17532735401943,165.69581579345405,72.69261523798754,284.098964644412,210.8502113507552,423.58528957465944,810.3618919005454,112.60956932695815,498.37069953639957,1193.7531862156059,695.5985648174681,419.36651446039934,87.8337907309505,247.63841221268947,793.7836473210601,114.11058072386554,221.21703612812956,1511.1256414457469,275.59252392644186,360.5932777513767,220.56513108468224,205.13553457535838,44.731005179939864,621.1291523852586,232.18003008684715,718.75959308292,325.70347662626756,268.27948424812473,736.7532575286389,37.77539118706992,210.2642247898793,80.16246208956206,283.37917752123167,1009.813323529546,479.8444356187735,3.9915745727376337,3.1245026426457505,2.1000561343042032,6.91136430899517,1.1425036030713116,1.5380359261377599,1.562687259518959,3.667653118649459,0.8096767709604568,2.1683582665822088,2.3142554056128852,0.7062785336527596,4.5565534229908495,3.3820824060837706,6.047676956778399,3.758123546274047,2.647941730375001,4.220797461484504,2.7349643185492223,0.2125515065438232,1.4414070401155392,2.8602505815791037,2.989643574263941,3.217028547759347,4.512062880108298,6.214795048163033,10.559456019598352,4.283333343180077,1.5305347243080267,1.0506434297960585,1.1097649180149105,6.19983794577431,0.8371585174413202,3.4052249881184893,14.809443701056196,1.185475601812189,5.487602945355353,1.2870815388848165,1.685006023003814,1.833971212377534,3.371304561361587,3.4682724379607914,10.011928728632002,5.501606573712804,4.16807969577275,1.8715154721303273,0.0,1.2887324133424107,1.3132160885254724,2.7102368595560833,7.2870849937623055,4.689837590924227
2020-11-02,282.7608118862681,1145.5207813599984,198.1903443383537,184.47662131612444,97.41289423275425,425.91191638482576,309.97304204201714,198.19997453181674,184.80872297172425,204.86329635193874,132.02019790624203,56.60317962559972,617.9325957845485,574.751084089876,503.6335610251877,734.7357925950479,505.11940304801635,450.6340804901599,170.3974960264656,79.81309070720563,285.84755679143734,209.64807704835238,440.17852663755974,851.7273062193724,112.70557066483279,553.6521161633179,1226.3672022761377,726.4681051183175,445.2000854131135,87.7287263879709,258.70389429376564,846.6525950784323,117.86310706081743,222.23860362456503,1548.4304426673946,292.21362514772613,376.47844417214225,223.24090586289012,211.0051582051597,46.564976392317405,634.074961900887,218.11271707847823,725.3803846615313,324.4065199434912,275.96037815558304,704.4918955804874,38.23327471661016,213.92958061484018,82.24484760136674,276.6035853723415,1052.3335871463476,481.07860340585887,4.137252476852145,3.5150654729764703,2.1000561343042032,7.195392979227848,1.149734638533788,1.637264050404712,1.5226183554287296,3.9610653681414156,1.012095963700571,2.1949638894850585,2.3142554056128852,0.7062785336527596,4.1568557543074425,3.39335601410405,6.174996471657943,4.210909515704656,3.432517057893519,4.252773199829083,2.458394893077953,0.2125515065438232,1.4886662873324423,2.8187976745996957,3.1756022654861,3.3436832149939675,4.752066224794908,6.0518603465258005,11.094112020590673,3.9140804687680006,1.6232944045691193,0.8405147438368468,1.0454307198691186,7.28991934283353,0.8224715259072619,3.5278130876907547,14.996905013727792,1.503231948689683,5.812526803961919,1.253210972072058,1.6738470427190202,1.9234332227374142,3.6410089262705134,3.4960186174644776,10.173411450061549,5.292420011974676,4.256762242491319,1.782395687743169,0.0,1.1046277828649236,1.0693331006564561,2.7102368595560833,7.090799876085205,2.4683355741706454
2020-11-03,286.1696748425477,1165.8300485371958,204.33349919851455,188.54769892279288,99.83529111268393,468.5800098196152,343.3504391491785,202.30774602470413,183.39178862254346,203.8655854930819,131.45508902812725,66.79376989687526,675.0094228725392,603.0140193967162,534.3175641111583,803.9667673209876,527.1855841344747,445.42203513999345,177.8341405780264,89.27163274840576,297.99318332618145,221.87668460727753,450.5063862577442,916.8531361114138,115.15360478063623,579.5820101095862,1227.7038422786184,773.7324730430632,444.8290466920692,93.82245828078803,270.6861386984194,974.6008990582584,116.40909489894567,225.7119331124459,1621.165431983974,306.7937529102204,408.5014955703671,208.33785646527642,216.27219689958224,46.60970739749734,649.5829628831503,210.03857884290548,731.6782107972839,327.23053852695597,291.96265103013377,671.7403748182066,44.87258589494366,212.4065332172537,88.13555976989527,281.62549484740134,1080.5986440918498,591.1663700138697,3.96243899191473,3.3197840578111095,2.531843376871422,6.91136430899517,1.1931208513086482,1.860527330005354,1.562687259518959,3.814359243395437,0.6072575782203425,2.1683582665822088,2.4891700583626957,0.4035877335158626,4.956251091674258,3.641375390550194,6.2174363099511245,4.708974082078324,3.432517057893519,4.316724676518242,2.427664956914479,0.4251030130876464,1.6540736525916027,2.715165407151178,3.347256441998862,3.3436832149939675,4.9920695694815205,6.0053075746294455,12.564416023319557,2.954022995296605,2.3653718466578595,0.8405147438368468,1.0454307198691186,9.061301613054761,0.8224715259072619,3.6640220872154945,14.996905013727792,1.6376673262147763,6.065245360655916,1.253210972072058,1.7742778652821618,1.833971212377534,4.0455654736339035,3.523764796968164,11.465273221497934,5.438850605191367,4.35037159736092,1.8715154721303273,0.0,1.0209438599206109,1.1818944796729252,2.949375405987503,6.77183655985992,3.949336918673032
2020-11-04,282.52772723968485,1219.727719122835,218.40583796763713,197.63661637023858,106.29983681613807,497.33135882596457,391.0725039206421,213.4574115053985,191.0837179466678,211.9137864211938,132.9082261432795,73.35207056650803,711.8615479251494,636.0344172881139,566.4233017799502,907.8358687083692,566.3162785944608,442.28841278222467,188.1593991289538,103.72513519338573,313.13977205919883,236.9033633873127,465.44029961435467,980.1551387952769,117.649639565377,625.8787417605085,1228.5058262801067,854.8942548388375,475.5325008584909,102.43773440511569,287.26827827049726,1037.6212298257444,123.70852969137262,232.3316904893483,1621.9152772346606,320.79947496874377,437.7446428449582,202.98630690886063,227.08524879554713,45.40197025763896,673.1820948126815,204.76680473720512,774.7940974189733,339.7817322312437,300.4860291314185,706.4970907291986,47.848828836955235,211.92116646417668,92.35661148301288,284.9734344974412,1126.5538972680008,742.228507153113,4.049845734383438,3.3197840578111095,3.022510697970535,7.148054867522402,1.2437380995459848,2.083790609605997,1.6428250676994185,4.107771492887394,0.6072575782203425,2.2947349753707424,2.637174764535613,0.5044846668948283,5.196069692884303,3.6864698226313104,6.57817493544317,4.799531275964445,3.9228766375925934,4.764385013342356,2.6120445738953246,0.4251030130876464,1.6068144053746993,2.9017034885585105,3.5332151332210207,3.6476544163570557,5.472076258854743,6.214795048163033,10.559456019598352,3.027873570179019,2.2262323262662203,0.630386057877635,1.0775978189420143,10.015122835481577,0.8445020132083492,3.7048847870729156,18.18374732914495,2.102080448574191,6.317963917349912,1.1515992716337828,1.919344608984477,2.2812812641769327,3.50615674381605,3.329541540442359,12.27268682864568,5.417931949017553,4.3700788299650455,1.648716011162431,0.0,0.8703127986208489,1.1818944796729252,2.8696625571770307,7.017192956956292,6.9113396076778075
2020-11-05,296.5710771963238,1308.7760444382388,238.20917104719732,202.08639887055054,117.93095735753174,553.9161966891941,458.388262792228,221.96636674066522,194.12000583776953,220.10831827527136,139.85099236011817,76.17718470111907,759.8252681671584,680.0578566073045,653.0854515746272,1006.1809812686971,566.9537460480697,470.2032323570427,208.77918629464514,119.8790496907163,338.47072856745876,240.07451077123736,461.9786070546805,1098.830561994116,123.50572117573029,681.2532639312195,1165.0154261622686,896.3982779227547,536.2900914295064,108.84665932687166,310.13908571132635,1081.2926157954294,134.99548268529642,238.77437616686842,1708.5224036889388,343.70237473983696,480.7067974829376,192.21546666240346,240.0408249061923,44.46261914886022,735.4838031066436,220.27691907976575,774.1481665332551,331.68621229197817,307.5067307466385,702.4867004317766,47.390945307414995,214.1806323836731,99.01649307482062,287.0459685665135,1162.940250957393,783.2028776843457,4.166388057675047,2.5386583971496726,3.316911090630003,6.769349973878829,1.1931208513086482,2.108597640672735,1.883238492240797,3.9610653681414156,1.012095963700571,2.261477946742181,2.7313595775547417,0.4035877335158626,4.4766138892541685,4.1486877514627585,6.620614773736351,4.799531275964445,3.9228766375925934,5.339948303544789,2.6735044462222737,0.4251030130876464,1.6304440289831512,3.005335756007029,3.94804605979353,4.103611218401687,5.712079603541355,6.424282521696618,9.356480017365627,2.7324712706493592,2.5508912071800443,0.4202573719184234,1.1419320170878062,9.333821962319567,0.895906483577553,3.4733294878808594,18.933592579831338,2.2731800199697645,5.884732105874489,1.253210972072058,1.952821549838857,2.4154742797167525,3.6410089262705134,3.1630644634202416,12.757134992934326,5.689874479277121,4.439054144079489,1.5150363345816933,0.0,0.6527345989656366,1.350736548197629,2.949375405987503,6.526480162763545,4.4430040335071626
2020-11-06,304.08805704863266,1410.9082245697218,252.22262973778797,220.16955754203104,128.2532604802172,589.1421808039622,527.7475357724157,249.8405304424011,195.73935937969043,230.6774019734282,142.93218124317255,83.54266083778357,806.8297140043271,734.2613639688068,697.5624021058817,1068.0315446929183,557.4898061598774,497.67039159503656,225.00459258895964,127.63717967956588,354.75153923368185,263.1223270517878,451.35035262559865,1181.510728764876,125.18574458853658,761.8128356978572,1160.2035221533376,954.814082654745,552.5230354751976,114.20494081883155,328.6995018763873,1150.51278450869,143.74892963959513,238.09333116924478,1762.1363391130155,370.88276379581964,509.66112354987837,183.172025323397,256.4891618459779,48.39894760469494,784.1654409727049,234.45521680614948,773.3407529261073,319.616147679688,318.87287715106845,718.7065011902395,49.451421190346075,228.40689928420625,107.10215213417031,303.30738972384995,1201.3875983823948,979.9292229457461,4.457743865904072,1.7575327364882352,3.43467124769379,7.384745426049632,1.2184294754273164,2.4310890445403297,2.2037897249626344,1.1736489979678266,1.214515156440685,2.2415237295650443,2.704449630977848,0.3026908001368969,4.2367952880441235,4.543264032172532,6.7691542077624876,5.0712028576228105,6.717926241877318,5.27599682685563,2.980803807857018,0.4251030130876464,1.6777032762000539,2.8602505815791037,4.291354412819053,3.900963750826295,5.9040822792906456,6.6803227671265555,7.3515200136444205,4.061781618532831,3.1538291288771454,0.630386057877635,1.2384333143064943,9.946992748165377,0.9619979454808154,3.364362288261067,19.49597651784613,2.480943785235818,5.993040058743346,1.388693239323091,2.1313652343955525,2.460205284896692,3.6410089262705134,2.941095027390751,15.340858535807097,5.731711791624749,4.547443923402184,2.1388748252918024,0.22894176477012068,0.8368392294431239,1.369496778033707,2.8696625571770307,7.458834471729767,4.4430040335071626
2020-11-07,309.361597177578,1510.8923091343856,264.66595300086146,242.70249871382353,140.0868500145602,632.529678139687,620.4669798372074,270.0859756573461,210.11112206423851,240.2487748127282,149.53857312780002,88.48661057335289,824.7361695613438,772.4450743334927,725.0846372390101,1139.888678041556,555.0380082613821,520.6289717264447,229.21459384335563,139.2212367862042,361.84042631621725,281.3823325762167,496.26652881310474,1268.6998016891882,126.76976666346822,811.5544724691098,1235.1890262925108,1003.186209202727,577.2898701049094,130.06965660875204,350.299708903837,1168.158477123586,155.38102693456923,241.47131435745825,1797.0041432699325,399.4563922188804,536.196572002748,166.4399653178944,274.1984635579451,50.99334590513145,805.4720858005103,237.03561149999229,746.5346211688022,351.8517968435337,332.03730853062495,752.3046599041979,54.2591982505186,232.60783221601068,113.78079395581415,307.37274501318416,1227.346305195191,1047.0679505631879,4.486879446726975,2.3433769819843127,3.297284397786038,6.769349973878829,1.171427744921218,2.5799312309407583,2.2037897249626344,0.88023674847587,1.6193535419209135,2.261477946742181,2.8793642837276594,0.10089693337896564,4.3167348217808055,5.050576393085098,7.087452994961351,5.116481454565871,6.717926241877318,5.659705686990584,2.980803807857018,0.531378766359558,1.7958513942423115,3.1711473839246582,4.6489672805539755,4.255596819083231,6.2880876307892235,6.866533854711966,9.356480017365627,3.7663793190031707,3.3857283295298775,0.630386057877635,1.2062662152335981,10.219513097430179,1.0794938777532812,3.3779831882135416,20.24582176853252,2.5053865811494713,6.029142709699631,1.354822672510333,2.2652729978130743,2.594398300436512,3.6410089262705134,2.857856488879692,15.825306700095743,5.878142384841439,4.572077964157343,2.406234178453278,0.22894176477012068,0.8703127986208489,1.369496778033707,3.5870781964712877,7.090799876085205,4.4430040335071626
2020-11-08,315.77142495861654,1524.1714453656302,279.68037302649435,263.1052248588709,145.77044388806686,673.2628231512709,705.6134010289454,296.63978423636814,219.6248241230239,244.33273792831548,153.97871431298753,86.87225963928942,872.4600712021427,813.7741213358364,775.0787667483783,1192.7288006741078,549.8401967165719,514.7774116093865,231.2734995663084,144.32247294325597,370.18168345000066,289.59000815813937,528.280032732735,1281.6945705474604,128.30578806946252,848.7966899861916,1226.2335382758897,1041.2931058420531,600.8508288912269,136.58364587348763,363.0700472357766,1168.4991275601672,168.0779311157626,242.1387384551295,1719.770082449235,422.20041381653476,548.3270627240598,156.14331300681587,287.45533213627976,52.02215902427006,807.3600163548728,236.9246267819776,824.5307756192742,360.7213070612305,344.1079885006524,783.6748240084779,56.090732368679575,233.5283553683981,116.55730797155371,303.5465282702814,1267.069505885094,1121.1180177883073,4.603421770018585,3.3197840578111095,3.591684790445506,6.011940186591688,1.2328915463522696,2.7039663862744483,2.323996437233324,1.1736489979678266,1.6193535419209135,2.301386381096455,2.8659093104392115,0.2017938667579313,4.4766138892541685,5.219680513389286,7.53307129703976,5.6598246178826015,6.717926241877318,6.1073660238146985,3.380292977982185,0.4251030130876464,1.866740265067666,3.1711473839246582,4.949362089451309,4.584898953893243,6.336088299726545,7.006192170401022,10.69312001984643,3.6186781692383407,3.2465888091382387,0.630386057877635,1.2062662152335981,11.037074145224596,1.108867860821398,3.350741388308594,18.558669954488142,2.6153791627609118,6.065245360655916,1.3209521056975746,2.2652729978130743,2.4154742797167525,3.371304561361587,2.8023641298723194,15.986789421525291,5.9618170095366905,4.631199661969721,2.0051951487110653,0.22894176477012068,0.9205231523874361,1.369496778033707,3.5870781964712877,6.919050398117743,6.6645060502607425
2020-11-09,328.21231796999587,1661.4542802268777,301.8585359401743,288.7151432915174,149.67520303780427,682.6894949566314,858.4762701331719,308.5229803407925,232.174814072911,248.14399340914866,165.40198663487902,92.21979710837462,892.3650151025765,868.8006020828193,825.8792531853168,1243.440829250336,558.9608848989745,523.7945698225581,238.4335746923979,159.09480264805168,378.5229405837841,314.9177343225572,586.1274902175358,1438.391724850132,132.76985028063353,878.2180418246862,1240.669250302682,1093.4316117090382,624.6900667183276,149.19136703104033,382.08080278785815,1234.5171821695658,179.9303332837476,250.10696492732683,1701.9612577454327,448.1097774850074,586.1987435772029,150.69015174996179,303.70280743093906,53.1851651589485,857.255323863024,260.86957969365886,856.0199062980362,395.9274054017576,351.59181008206946,831.5321482243818,69.59829649011671,238.54939074505688,125.37461599451045,330.8083225634632,1315.1593597159833,1160.8582205324547,4.632557350841487,3.1245026426457505,3.5720580976015417,5.8225877397699035,1.214813957696078,2.877615603741615,2.84489219040631,1.4670612474597835,1.6193535419209135,2.2880835696450306,3.0139140166121288,0.2017938667579313,5.276009226620984,5.29859576953124,7.469411539599987,4.935367066793628,6.6198543259375,6.331196192226755,3.5032127226360825,0.8502060261752928,2.0085180067183743,3.1711473839246582,5.249756898348643,4.838208288362482,6.912096326974414,7.378614345571839,9.490144017613707,3.9879310436504163,3.1538291288771454,0.630386057877635,1.3349346115251821,11.71837501838661,1.241050784627922,3.2962577884986968,22.120434895248493,2.2487372240561108,6.101348011612201,1.4225638061358497,2.242955037243487,2.728591315976331,3.7758611087249765,2.941095027390751,15.986789421525291,6.129166258927192,4.705101784235196,2.0943149330982234,0.22894176477012068,1.0042070753317485,1.5383388465584102,5.739325114354061,7.2870849937623055,6.6645060502607425
2020-11-10,342.69270163897835,1701.0964075054455,313.3401512538935,300.975714223228,151.00571356289998,704.122769798293,973.634300488492,321.5798254431846,247.1538343356794,255.972697948312,176.6234343574438,88.89019830686874,952.5594840062976,921.876748642294,871.3959797547542,1309.5023021902614,618.4415019164724,533.8669274011006,243.47328422320777,169.40355071542712,403.5703416087425,333.2813721144347,637.108780641826,1520.2613017505905,138.7699338977988,920.2784712330404,1383.1550745671357,1126.885922130772,673.9454569369677,159.6978013290009,417.689781461554,1215.9176683322428,198.77374342194432,252.65407321843938,1584.7979373256846,481.9263856315469,617.3914340034335,164.00128450737577,331.6895299852011,54.840212350606265,979.0268446194046,282.81680768107475,858.1191816766201,410.319440849341,350.6852773822796,881.2609879124162,91.34776414327817,251.2860838171812,128.90153920369315,359.66437383285444,1334.0763379321136,1163.3265561066253,4.807370835778902,2.733939812315032,3.375791169161897,5.159854175893654,1.2111984399648394,2.877615603741615,2.92502999858677,1.76047349695174,2.024191927401142,2.4809743356906866,9.43193627520135,0.3026908001368969,5.355948760357665,5.456426281815149,7.830150165092032,4.935367066793628,6.6198543259375,6.363171930571334,3.2881031694917624,0.8502060261752928,2.0557772539352777,3.3576854653319907,5.736110398468135,5.040855755937875,6.960096995911735,7.518272661260898,8.420832015629065,5.169540241769058,2.411751686788406,0.630386057877635,1.4475194582803181,11.309594494489401,1.3585467169003878,3.2145323887838537,22.120434895248493,2.126523244487844,6.245758615437342,1.2193404052592998,2.5777244457872914,3.04170835223591,3.50615674381605,2.8301103093760056,15.17937581437755,6.212840883622446,4.7494430575944815,2.31711439406612,0.22894176477012068,1.0711542136871983,1.5383388465584102,6.137889358406426,7.630583949697228,8.392340952180193
2020-11-11,349.65610545565204,1659.5014660752242,322.6235769690887,313.9463568305203,155.11294170558673,775.740668487966,1162.1184253289327,350.7743442676342,270.4320415007926,256.6977011724147,179.20678922882567,84.04714550467838,1000.5232042483066,951.627800207811,923.3635617447553,1311.0417744863257,660.8576055604423,541.1573957436648,252.90737462539443,170.36003249487433,434.8559632663323,353.65547589481326,699.2332880247366,1648.8917817940703,143.90600547409227,953.0516226480727,1416.1700826284118,1167.6514394658655,690.2247808227895,177.76886832149313,443.9863849536464,1238.5368573212218,214.2685194903758,261.84818068635934,1569.4261096866135,528.1843768981358,624.1065270813024,175.41566552327538,360.11145277057,58.32923075464157,1109.563757235325,306.0958522846676,785.7749224761824,404.00200668484945,370.3826563701041,899.8870228493324,114.24194062029026,260.1733164338672,139.91379411747104,378.39689330331555,1392.937337595534,1094.4599935872643,4.836506416601804,3.3197840578111095,3.316911090630003,4.733811170544637,1.1786587803836945,2.728773417341186,2.84489219040631,1.1736489979678266,2.024191927401142,2.514231364319248,3.511748028284668,0.3026908001368969,5.515827827831029,6.561239867802515,7.9574696799715765,5.0712028576228105,6.276602620148148,6.267244715537596,2.5505847015683765,0.8502060261752928,2.0557772539352777,3.419864825801102,6.065114236784262,5.724790959004822,6.432089637601189,7.704483748846306,9.089152016869464,4.578735642709738,2.9219299282244147,0.8405147438368468,1.3671017105980778,11.2414644071732,1.3658902126674173,3.2009114888313794,18.933592579831338,2.3831726015812045,6.281861266393627,1.253210972072058,2.8455399726223347,2.8180533263362113,4.180417656088368,2.8023641298723194,17.278651192961682,6.296515508317697,4.9415885754847135,2.3616742862596984,0.22894176477012068,1.1715749212203734,1.2381751691811598,6.456740753648317,7.974082905632152,5.43033826317542
2020-11-12,349.364749647423,1569.4767336839936,326.03862152393856,334.8224640926221,157.6112644578724,810.272055732865,1282.2449997914414,374.83414872597467,288.2449304619226,260.6486361734878,190.37441705823665,82.53369150399391,1045.0495245396382,987.804808344887,960.6469596853156,1327.3420693858275,677.1865795644214,572.5895465363865,273.31205223794143,170.46630824814622,486.5575797216241,368.0189081631779,789.938215797022,1745.2759835596164,153.842143944118,956.9387791014178,1495.5664987757712,1219.937646482615,717.2178477787676,182.8119567845142,468.385129600438,1278.8698690124127,229.95422644875,273.5212919456295,1549.3677492307527,555.1203379949819,643.6380612486527,192.21546666240346,385.0406147267987,63.42856534515473,1094.9997215302433,314.83589882832877,794.1720239905189,371.8291134895251,390.52344809152135,918.1120187565064,136.44929180299192,285.07765190209454,151.35753431747875,411.47772555966196,1411.2409248189233,1124.3268540347287,4.894777578247608,3.7103468881418293,3.0028840051265706,5.065177952482761,1.258200170470938,2.8528085726748764,2.8048232863160805,2.3472979959356532,1.4169343491807993,2.5541397986735217,10.158504832777489,0.3026908001368969,6.235283631461162,6.008833074808832,7.9574696799715765,5.840939005654843,6.276602620148148,6.075390285470119,3.1344534886743896,1.2753090392629391,2.1502957483690834,3.419864825801102,6.16524583975004,5.4461506910886595,6.6720929822878015,7.634654591001777,8.688160016125227,6.055747140358038,2.5972710473105907,0.9455790868164529,1.4796865573532139,12.127155542283813,1.3952641957355336,3.2962577884986968,17.621363391130156,2.4076153974948578,6.606785125000194,1.2193404052592998,2.867857933191922,2.639129305616452,4.8546785683606855,3.02433356590181,13.726031321511613,6.275596852143883,4.985929848843999,2.450794070646857,0.22894176477012068,1.723888812652835,1.4257774675419417,5.978463660785478,8.63654517779236,5.43033826317542
2020-11-13,353.3854598009836,1534.9119231997252,333.4378847261131,365.63957481286764,170.37404204914372,852.4688155773865,1390.0704206982496,393.46582656871396,289.25702642562317,267.2135736247658,198.50122092445866,79.80947430276183,1121.631597859379,993.7572733795945,1008.901055824663,1357.0901075774184,706.3139385985464,579.1445728970253,285.3889171501869,178.75581700335533,524.9084588381409,378.54794653594746,869.5142311253968,1879.0486430928217,160.99424361577906,965.7605293757769,1486.744674759398,1233.9692557102742,729.6012650936233,192.79306936757675,488.2965639265605,1301.0802774774945,244.16389075795138,284.9219852058502,1544.493755101291,585.7104970809191,649.0173562411394,198.24442755507445,419.2205713391211,61.68405614313707,1165.7971173188366,322.0499054992872,760.2606524903139,375.80365816254965,402.27388553173165,952.6904950987238,143.7754282756358,293.68035918076987,151.77025937387248,446.63109188508054,1399.95453055249,1076.4411438958184,4.894777578247608,4.491472548803267,2.904750540906748,4.355106276901065,1.301586383245798,3.175299976542471,2.6445476699551618,2.6407102454276106,1.012095963700571,2.766984781896316,10.077774993046805,0.3026908001368969,5.835585962777755,5.569162362017942,7.787710326798851,5.931496199540966,4.56034409120139,6.267244715537596,3.226643297164813,1.381584792534851,2.3157031136282438,3.6064029072084347,6.279681957425216,6.332733361730999,6.816094989099767,7.518272661260898,7.752512014388663,5.4649425412987185,2.2262323262662203,1.0506434297960585,1.7048562508634855,13.08097676471063,1.4393251703377083,3.350741388308594,18.371208641816544,2.5176079791062977,6.534579823087624,1.253210972072058,2.7785860909135733,2.728591315976331,4.989530750815147,3.1630644634202416,9.365997842913808,6.212840883622446,5.08446601186463,2.31711439406612,0.0,1.5899945359419352,1.5008183868862541,6.217602207216898,8.587473898373085,5.43033826317542
2020-11-14,356.6777804339716,1459.7285783610619,348.6093182944977,366.20763215333307,176.75904636251056,862.391628004082,1448.6912273822556,396.1065368141415,304.2360466883917,276.55879866939165,201.32676531503253,76.378978567877,1133.702467453618,1001.2204018890192,1059.616662585015,1380.453863600038,743.188978991917,549.7588693583567,300.5387756787797,181.9440896015127,573.7745204604184,391.0874508972181,882.3739898491444,1922.8458270225533,168.290345294252,917.4853049192593,1453.1950106971299,1223.777876376501,760.3510991001755,191.7424259377807,496.9334300276332,1368.8697143571146,249.93587843083623,294.42937337267705,1448.1386403880902,612.51202280024,653.2774690539809,211.55556031248852,442.9222454640224,61.41567011205743,1211.7817115358087,328.1263188105945,736.1997269973112,378.39757152810245,407.1218647523468,948.8137844778822,173.76679946052164,302.68474928957784,158.148737518139,470.62465937703297,1402.1627381263575,1039.1692767258419,5.302675709768242,5.272598209464705,3.0028840051265706,4.307768165195619,1.4172829506454243,3.3737562250763755,2.6445476699551618,2.934122494919567,0.8096767709604568,2.860104462056288,10.266144619085065,0.2017938667579313,6.0754045639878,6.764164812167541,7.80893024594544,6.520117959800757,4.56034409120139,6.299220453882175,3.226643297164813,1.381584792534851,2.2920734900197925,3.6064029072084347,6.3225955015534065,6.358064295177921,6.7680943201624455,7.727760134794483,9.222816017117548,5.612643691063549,2.6900307275716835,1.0506434297960585,1.9782765929831014,13.694147550556444,1.4907296407069122,3.4052249881184893,18.18374732914495,2.5420507750199515,7.003914285519332,1.0161170043827497,2.8901758937615085,2.7733223211562716,4.584974203451757,3.3850338994497315,15.825306700095743,6.129166258927192,5.178075366734231,2.31711439406612,0.0,1.5565209667642106,1.5008183868862541,5.739325114354061,8.783759016050187,9.626508739265516
2020-11-15,359.0960336422725,1465.977583646353,363.85925863425814,365.16619369581326,187.42482366966365,874.9439857238513,1518.4111204992553,429.84894550571653,331.36021851556694,286.40287914344583,203.25082649528045,74.26014296691872,1152.808016016685,994.0278399720811,1052.996047811279,1354.373391760835,778.8381204360395,545.31424172846,307.6373909325423,184.91981069312624,628.8315434681105,405.69960060745916,886.3506449383568,2000.2318287029066,170.1623713828076,888.4363752559353,1433.5464026606621,1213.2172441683153,775.934725384039,200.14757337614918,502.9325940047282,1434.5471185299325,257.6245184989157,303.9912451393137,1453.7624797682379,626.8355012056409,659.0177905560303,217.78774460603603,465.9209038309817,60.52105000845863,1271.3863761806815,333.6478085318281,638.6641632538639,378.0837916854952,410.1764858059864,951.0417790875614,191.62425711259104,315.6222837767686,164.6397770414221,512.0753407584789,1380.4241613436188,1102.8523345394447,5.360946871414047,4.882035379133986,2.7084836124671035,4.639134947133743,1.5185174471200975,3.770668722144185,2.5243409576844726,2.6407102454276106,1.214515156440685,2.966526953667685,10.266144619085065,0.10089693337896564,5.835585962777755,7.034731404654243,7.999909518264758,6.474839362857694,4.56034409120139,6.267244715537596,2.950073871693543,1.381584792534851,2.4574808552789524,3.8551203490848787,6.794644486963502,6.358064295177921,7.056098333786379,8.007076766172597,8.554496015877143,5.612643691063549,2.6900307275716835,1.0506434297960585,2.203446286493373,14.375448423718455,1.5421341110761162,3.4188458880709622,19.49597651784613,2.5053865811494713,7.653762002732464,1.0499875711955082,3.258422243159693,3.26536337813561,5.798643845541929,3.3572877199460454,17.44013391439123,6.714888631793955,5.276611529754864,2.6290336394211744,0.0,1.5397841821753477,1.5008183868862541,6.377027904837845,8.808294655759822,7.405006722511936
