,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease
2020-04-23,81.5796263041268,5.858442454960782,32.87471051364056,43.456386545599756,38.28833277381389,10.766251482964318,276.79598945530694,295.4661352384004,221.04175847220472,74.94803971732617,66.83085232371627,10.69507493817036,24.38155778968788,145.49718510972383,122.14185460777708,94.85866059571238,92.38374481530559,50.042030509267036,169.4141380692344,21.14887490111041,202.12780034669385,375.33534624504335,130.5143922085368,3.7743090835916746,66.76893049181534,45.87775670385519,7.485184013892502,162.7666670408429,54.86735087443623,58.52083903964046,17.225481553535783,75.07935622245371,358.92069910931554,41.81616285409504,71.9851440658934,76.89703594435353,46.28359852595764,27.57064138558528,122.61487536931065,3.981059461014647,542.7800343792154,35.09891707216321,,79.76283599074875,32.35927593597568,84.88659462876844,44.64364413017354,88.28653870624956,41.81655230461826,31.406862431326385,41.26894599161008,13.822679215355615,2.651337854884121,0.0,1.9430425915524867,0.37870489364357085,1.9415330216749815,4.415651529879374,26.766027932273456,7.04189398780696,11.740313178926625,2.248175135290756,3.3502883488233035,0.3026908001368969,1.0392139385768606,6.94454254049201,6.472075339710216,1.6300294899501893,1.569150655037037,2.0784229923976727,13.613361720419164,1.806687805622497,7.986812779656595,25.452084885356076,12.602277458978621,3.0397120136308793,6.096084955039933,2.444020524558496,0.8019840014884823,1.6985632222955476,2.5508912071800443,1.7860938306532992,29.754566642428756,2.9295937545966524,33.831484998703175,1.7026124940592446,1.1247678760295843,3.2631132544727266,2.166159057377113,0.6435407694424082,7.967511923342537,0.9393511087787371,14.429183522627591,1.276324257169571,0.3229654428590968,0.5438850605191367,1.128239066586241,0.7129582750972675,2.289417647701207,2.9958844414063837,2.4013094190180064,1.4348312785885153,1.4721383825782433,1.2341677870853227
2020-04-24,72.51846066820414,6.834849530787579,31.657855557314758,46.48602569474832,38.863200093080785,24.856645128871534,271.7072386358477,288.7176535000854,227.5191726398884,77.56869357325681,65.51226494144846,12.410322805612777,22.862706648690928,157.21046384279396,124.3911660373157,123.11250508818235,108.12428732364586,52.08847776332013,167.69326164407985,21.255150654382327,210.32727973882652,362.1325953721021,137.52360441614127,5.319496023854039,67.05693450543927,45.94758586169972,7.618848014140582,193.34080504216277,54.913730714566775,60.62212589923258,17.145063805853543,78.82651102484479,356.67358940460457,42.1566853529069,71.6102214405502,70.43191642519223,46.28359852595764,25.538407376819773,120.80712056317411,3.4442873988553693,601.710438111816,34.76596291811897,,81.81286429578242,38.95627205020702,77.04405360269847,46.70412001310463,100.3202868256417,41.347546558716296,30.92858533846355,44.11508019792802,9.873342296682582,2.5347955315925117,0.0,1.903789205864558,0.3313667819381245,2.002996823106033,6.970775729753395,29.17016217768724,5.721538865093155,13.562085913587651,2.135101237953647,3.202283642650387,0.4035877335158626,0.8793348711034973,7.451854901404576,6.55695501629658,1.946979668551615,1.1278270333078706,2.110398730742252,11.923215231428072,1.9129635588944094,8.601182993476334,26.032425583067777,12.173142017696716,2.685078945373943,5.952082948227967,2.909548243522019,0.8019840014884823,1.9201149469427932,2.411751686788406,1.6810294876736935,28.580467526268055,2.997723841912853,31.386100908282476,1.580024394486979,1.1247678760295843,3.324220244256859,2.0939537554645424,0.5419290690041332,8.213009489607993,0.8498890984188575,14.564035705082054,1.3040704366732576,0.4844481642886451,0.6275596852143883,1.0986782176800511,0.7129582750972675,2.7473011772414484,3.4310408407168076,2.251227580329381,1.2754055809675688,1.398531463449331,1.2341677870853227
2020-04-25,74.3831378408699,8.201819436945096,32.69807027804488,45.96530646598843,41.27836593754798,36.81363410303928,270.3849648008702,287.2505922526256,227.9240110253686,78.18062290002234,64.36859221193048,11.704044271960017,22.22319037879748,164.53830905597545,142.3432176353316,143.75954529421804,117.68629912777779,51.99255054828638,166.03384509125226,20.511220381478946,209.31120592366304,361.73879275579776,138.3675707839957,6.130085894155606,68.92896059399483,47.46055094833117,6.950528012900181,225.09655224160127,56.67616463952754,60.20186852731416,17.94924128267594,84.48130827208949,348.23591276828813,44.39051294511262,86.2322038289348,58.44272502954522,43.612002355192544,24.48841980562427,123.46295787095495,3.04170835223591,623.0170829396211,38.3729662535982,,87.04252833923567,41.91235694082598,73.7911814725672,49.680362955116195,112.18666709914518,35.23171163215481,26.863230049129424,46.39689469092431,7.898673837346064,2.418253208300902,0.0,1.8841625130205932,0.3313667819381245,1.9668416457936497,6.425021046285157,31.09346957401827,6.601775613569026,14.97902026276845,2.155055455130784,3.05427893647747,0.5044846668948283,0.9592744048401788,6.933268932471731,6.726714369469306,1.7205866838363109,1.4220427811273153,2.2702774224651496,11.585185933629852,1.9129635588944094,8.790219982343947,25.555717152804597,12.073010414730938,3.115704813971652,5.808080941415999,3.049206559211076,0.5346560009923215,1.846264372060378,2.3653718466578595,2.3114155455513288,28.837804318851227,3.0658539292290543,31.540314319390088,1.6072661943919269,1.3122291887011819,3.17756346877494,1.9856458025956865,0.5080585021913748,7.822445179640221,0.8946201035987973,13.75492261035527,1.4705475136953754,0.4844481642886451,0.6693969975620142,1.138092682888304,0.7129582750972675,2.289417647701207,2.9791476568175206,2.1386662013129123,1.1956927321570958,1.3494601840300562,1.2341677870853227
2020-04-26,73.59647715865152,7.030130945952941,33.38500452758364,35.030202662030305,40.54803135583784,46.28991997053321,265.73697192640356,292.09189436924294,231.3651373019505,77.62190481906251,62.29652632550963,11.300456538444154,21.66361364264071,174.00813979301003,144.3378900351111,171.37948942948512,116.85268784228938,52.05650202497555,165.97238521892527,19.448462848759824,212.02861263863502,361.73879275579776,137.3233412102097,7.219316032373339,71.90500206810881,48.2053952986728,7.08419201314826,235.28793157537459,56.35150575861372,62.618348415845084,18.656917462279655,86.45708080425932,365.3829753843011,46.760549536843094,86.607126454278,46.820175572603056,44.47846597814338,22.761020898173594,124.03206586547941,2.639129305616452,604.1377773959963,37.81804266352447,1.2918617714363871,84.3649403489876,44.30678570222736,64.34448432752839,49.222479425575955,123.68483811169371,34.68766496690855,27.182081444371313,49.758277331144626,5.924005378009548,2.593066693238316,0.0,1.7860290488007708,0.42604300534901735,1.9813037167186036,6.400214015218418,31.93491655991309,7.7754246115368515,16.598373804689363,2.1484040494050722,2.973549096746788,0.4035877335158626,0.8793348711034973,7.24892995703955,6.641834692882943,1.946979668551615,1.2749349072175928,2.110398730742252,13.306062358784418,1.7004120523505857,9.002886594820009,24.975376455092892,11.772615605833604,3.2676904146531944,5.808080941415999,3.3052468046410133,0.5346560009923215,2.0678160967076233,2.5972710473105907,1.9962225166125114,27.92104199527369,3.8152848897072675,29.968806225245856,1.6345079942968745,1.3122291887011819,3.1408992749044593,1.8412351987705458,0.5757996358168914,4.887633364739539,0.8498890984188575,13.62007042790081,1.4150551546880028,0.6459308857181936,0.7530716222572662,1.152873107341399,0.57927859851653,2.289417647701207,2.6444119650402715,2.1386662013129123,1.2754055809675688,1.2758532649011443,1.2341677870853227
2020-04-27,74.1791887751096,8.592382267275815,33.4635112989595,35.45624566737933,41.73392117168401,55.81581990016063,260.7283589151248,267.0051470376806,229.7457837600296,75.51340920401171,62.6329006577208,10.089693337896566,20.384581102853804,179.6111229790888,144.99570752865543,187.99673450758846,119.0102699929653,58.77140707733726,160.5639164541538,19.448462848759824,209.31120592366304,359.0029008951569,135.46375429798815,7.700603767864895,72.38500875748204,46.34328442281872,6.8168640126521,230.26609248337036,56.76892431978863,64.61457093245761,28.29096363461199,87.41090202668614,390.306800017598,48.29971123147264,89.41904614435195,44.46144576693549,42.02348571311598,23.16746769992669,124.02090688519462,2.3260122693568728,571.9081057893795,38.81690512565718,1.1303790500068387,86.03843284289265,45.96219324097398,55.076026751263925,51.28295530850704,133.47585709617823,35.77575829740109,27.819784234855092,52.579875897752935,19.746684593365163,2.7096090165299263,0.0,1.7271489702688771,0.37870489364357085,1.9740726812561267,6.400214015218418,27.286923685446446,9.535898108488594,16.193535419209137,2.1018442093250864,2.1797056727284145,0.6053816002737938,0.7993953373668158,7.147467484857036,6.684274531176125,2.1733726532669184,0.9807191593981484,1.8226170856410358,12.660733699351455,1.7004120523505857,8.790219982343947,24.540120931809117,11.744006576414812,3.571661616016283,5.2800735831054535,3.14231210300378,0.5346560009923215,1.6247126474131324,2.272612166396767,1.8911581736329057,26.811277077258776,4.087805238972072,28.32386317343133,1.75709609386914,1.1247678760295843,2.982021101465712,1.9856458025956865,0.5757996358168914,4.385479251923834,0.9393511087787371,14.0246269752642,1.6925169497248658,0.6459308857181936,0.773990278431079,1.1479462991903673,0.5347187063229506,2.0604758829310867,2.811779810928896,2.119905971476834,1.0362670345361498,1.2513176251915068,1.2341677870853227
2020-04-28,94.22446838126646,8.982945097606533,34.28783239840601,38.249194258000664,43.08974032089839,68.93873933446507,241.09459591091223,260.55007754885753,230.5554605309901,71.27646375673298,63.23837445570092,9.787002537759669,19.34536716427694,183.97400928293686,147.3723384730736,193.06793736521126,121.26592405958104,62.960228800477175,156.23099545510394,19.02335983567218,219.2592774628212,351.74864217376063,130.9149186203999,8.739172039188777,72.00100340598345,44.94670126592814,5.613888010419376,242.22988561432155,54.21803311260858,57.680324295803615,48.33106635702617,90.47675595591521,379.74685310461007,50.98302852211001,90.35635270770996,45.610257174877205,44.33405537431823,22.591668064109804,120.91871036602203,1.968164227917354,557.748626631661,40.09322938282674,1.1303790500068387,84.74147616011624,39.39968478379985,51.2438760226161,45.78835295402415,146.16233981453604,35.45683439018775,28.058922781286515,54.59179835394318,17.27834901919452,2.797015758998633,0.0,1.6682688917369837,0.42604300534901735,1.98853475218108,6.2265647977512515,26.685890124092992,8.068836861028808,15.788697033728907,2.1484040494050722,2.7448145508431887,0.4035877335158626,0.7194558036301343,7.406760469323459,6.429635501417034,2.3997656379822225,0.833611285488426,1.726689870607297,12.169054720735865,1.594136299078674,8.955627347603107,24.20849767597386,11.47222079693627,3.546330682569359,5.328074252042777,3.0259301732629003,0.26732800049616073,1.2554597730010568,2.8755500880938687,1.8911581736329057,27.16511516706063,4.155935326288272,26.524706710509196,1.7162333940117185,1.1247678760295843,2.9575783055520586,1.6607219439891197,0.7112819030679248,1.6961650032886075,0.8946201035987973,14.0246269752642,1.6925169497248658,0.4844481642886451,0.7949089346048921,1.1134586421331458,0.4901588141293714,1.8315341181609655,3.31388334859477,1.9510639029521306,0.9565541857256765,1.4230671031589686,0.2468335574170645
2020-04-29,93.87484141139163,9.568789343102612,35.17103357638441,39.14861838040414,42.99212134215495,80.72207909116563,221.02007496170714,243.53216707832405,243.7127080590975,70.87737941319023,63.21146450912402,9.887899471138635,18.146274158226717,186.82623211206754,151.3616832726327,211.63216211186617,144.5580040952871,65.55026360638811,153.37311139190078,18.38570531604071,223.04001724017334,351.9973596156371,120.73010414730939,16.94639447599215,74.16103350816297,41.61817807533895,6.68320001240402,249.1718396532686,55.42390895600279,65.98040739119247,70.97670410434493,101.6500902757722,369.98734723022835,50.88768222244269,91.48112058373951,46.673518797121126,43.82861826093024,22.25296239598222,121.71099796624236,1.4761231709380156,562.0638964702036,43.06207058972119,0.0,91.66555135364834,43.065230048167386,48.882201736356414,43.956818835863174,163.53512221777527,34.18113876133444,29.095189815822668,60.89745775931999,17.27834901919452,2.593066693238316,0.0,0.49066732109911293,0.804747898992588,1.9162243975563131,6.425021046285157,25.002996152303343,8.802367484758701,15.788697033728907,2.155055455130784,2.906274230304553,0.4035877335158626,0.4796372024200894,7.327845213181504,6.281096067390898,2.626158622697527,0.7355393695486112,1.6947141322627173,9.618470019167491,1.4878605458067626,9.451849443380587,24.540120931809117,10.79990860559462,4.154273085295534,5.520076927792065,3.0259301732629003,0.26732800049616073,1.9201149469427932,2.6900307275716835,1.8911581736329057,27.4546190587167,3.9515450643396703,25.166159993608808,1.6481288942493484,0.937306563357987,3.9963971318823277,1.5524139911202643,0.7790230366934414,6.394095703186658,0.7604270880589775,14.564035705082054,1.6647707702211796,0.6459308857181936,0.8158275907787048,1.074044176924893,0.4901588141293714,1.3736505886207242,3.012621225995246,2.044865052132521,0.8768413369152036,1.5212096619975182,0.2468335574170645
2020-04-30,96.43877252380703,9.764070758267971,37.19258293931276,35.45624566737933,44.210550817582266,83.4260454774401,207.7572677078411,225.92743210880664,273.0634910064141,69.26108782184215,64.67805659756473,8.878930137348977,18.94566949559353,192.02336540941621,154.75687033608725,212.49245545378437,148.9222043546088,73.76802836094507,159.64201836924954,18.173153809496885,229.39638599084685,355.27213926701023,118.95634432334417,30.42245106975572,87.98522616211179,40.61729347956738,6.68320001240402,278.04741443229295,55.887707357308244,76.80203471809189,105.05774557207818,114.25415642926943,357.67964832468755,50.574401523535805,88.85666220633715,50.1443958168599,47.799909866121624,24.04810243705841,120.13758174608648,1.1182751294984967,553.8379133404814,45.53148056554926,0.0,103.75653462211221,46.80467743480038,49.773399580228,35.48597353936871,170.76541316016386,39.56532472428887,27.58064568842368,65.68190750269929,19.4998510359481,2.651337854884121,0.0,1.3934951919214804,0.7574097872871417,1.9921502699123181,5.6063890210828005,24.762582727761973,7.628718486790874,17.205631382909704,2.155055455130784,3.202283642650387,0.4035877335158626,0.7194558036301343,7.519496549526252,6.472075339710216,2.9883873982420135,0.833611285488426,1.7586656089518764,9.40336046602317,1.1690332859910277,9.640886432248198,23.503798257323936,10.685472487919442,3.0903738805247265,5.232072914168132,2.956101015418371,0.26732800049616073,1.6985632222955476,2.5508912071800443,2.206351202571723,29.91540213779324,4.087805238972072,24.22619253542908,1.7298542939641923,0.7498452506863895,3.8986259482277137,1.3719007363388382,0.6774113362551665,9.719471828055111,0.5815030673392182,14.564035705082054,1.8035016677396118,1.2918617714363871,0.8576649031263307,1.0543369443207666,0.35647913754863375,0.6868252943103621,2.861990164695483,1.9323036731160521,1.0362670345361498,1.447602742868606,0.0
2020-05-01,99.93504222255534,8.006538021779734,38.664584902610095,34.98286455032486,44.78541813684917,81.49109705423452,198.0205240139153,216.39153400031807,291.88847593124467,69.49388702224209,68.00143499981115,5.852022135980008,17.586697422069946,190.9861934715506,159.2554931951645,226.25714892447488,136.51610698822225,80.32305472158387,155.64712666799787,18.2794295627688,234.09868108892866,352.70205903428695,118.95634432334417,49.85127702354643,88.12922816892376,45.807927546010674,5.613888010419376,276.7919546592919,54.774591194175144,77.43242077596952,141.58348656935158,112.14212372246718,355.9025223490665,51.52786452020898,78.17136738405611,50.718801520830766,51.98781737705071,23.60778506849255,117.84999078770383,1.297199150218256,536.307129621401,47.251743694777815,0.0,104.13307043324085,44.8142469417836,51.2438760226161,31.365021773506545,181.2928506665583,40.034330470190824,26.30524010745611,71.88942434923754,21.22768593786755,2.767880178175731,0.1952814151653594,1.2561083420137287,0.804747898992588,1.9668416457936497,3.671440597877232,23.039619851882087,8.655661360012722,15.788697033728907,2.234872323839332,3.605932841303797,0.3026908001368969,0.7194558036301343,7.4631285094248545,6.387195663123853,2.8525516074128308,0.931683201428241,1.7586656089518764,11.339346444322057,0.8502060261752928,9.262812454512975,23.00636337357105,10.227728017218745,3.7996400170385987,5.2800735831054535,2.6302316121439047,0.26732800049616073,1.6985632222955476,2.3653718466578595,2.941801603428964,30.896498659516567,4.3603255882368765,22.985141750801162,1.6889915941067708,1.499690501372779,3.813076162529927,1.4080033872951232,0.6096702026296499,9.619041005491969,0.5367720621592783,15.777705347172224,1.858994026746984,1.7763099357250323,0.7530716222572662,1.1036050258310828,0.31191924535505455,0.6868252943103621,2.4268337653850596,1.894783213443896,1.1956927321570958,1.5948165811264305,0.0
2020-05-02,102.8194647240227,6.834849530787579,38.448691281326475,33.941426092805045,43.20543688829801,78.76232363689333,184.5573722395981,209.936464511495,302.41427395373057,68.30993680306528,69.71021660744393,5.952919069358974,18.78579042812017,192.012091801396,146.20524292001113,227.34383525110835,133.18166184626855,80.54688488999594,155.30909737019968,19.873565861847474,237.02875441637664,346.15249973154056,119.60004748526701,64.36590188863387,83.18515926837958,47.716591193761104,4.945568009178974,276.4965523597622,58.62411792501049,77.43242077596952,172.4156510307223,114.59480686585042,340.5693031875097,50.68336872315559,66.54876599841708,53.00420293875735,52.38494653756984,22.964244299050147,115.91948719843455,1.3866611605781358,502.1895274604219,45.39274966803084,0.0,100.59781753986645,44.83888098253876,51.288435914809675,29.533487655345567,185.92893999767324,39.75292702264966,25.428398770540902,74.93184367323258,21.22768593786755,2.7387445973528286,0.1952814151653594,1.4720019632973385,1.1361146809307126,1.9306864684812672,4.018739032811565,22.99955094779186,8.215542985774787,15.181439455508563,2.161706860856497,3.7270276008998198,0.2017938667579313,0.6395162698934526,7.722421493891278,6.387195663123853,2.8525516074128308,0.6865034115787039,1.6947141322627173,9.40336046602317,0.6376545196314696,9.19192358368762,22.88200465263283,9.426675193492521,3.8249709504855236,5.1840722452308095,2.7233371559366097,0.26732800049616073,1.6985632222955476,2.3653718466578595,2.52154423151054,30.220989578985748,4.973496374082688,21.38425967358881,1.7026124940592446,1.499690501372779,3.7886333666162737,1.516311340163979,0.7451524698806831,9.831061630903047,0.5367720621592783,15.642853164717762,1.9699787447617292,1.7763099357250323,0.7530716222572662,1.0937514095290195,0.35647913754863375,0.9157670590804827,3.012621225995246,1.7259411449191921,1.3551184297780416,1.668423500255342,0.0
2020-05-03,106.37400558441676,7.225412361118298,41.27493505085738,35.408907555673885,43.92130939908319,77.44755099035622,180.2299305978533,221.52624836642732,315.16668309635776,67.20580345259704,70.59824484448143,5.650228269222077,18.146274158226717,195.0897867909322,146.62964130294293,225.94019874587343,135.04502824912504,83.45667707935267,155.12471775321882,20.617496134750855,238.7773465634021,335.2089322889771,119.07078044101934,77.46199448069356,82.08114388282115,47.39072179048664,5.079232009427055,279.08132248064675,59.273435686838134,74.70074785849977,186.4565897760414,115.13984756438002,307.75122060465657,48.54488743061718,72.172605378565,54.64187026497212,50.18268482923645,23.54004393486704,114.17868627400678,1.3866611605781358,488.2997526676122,46.780058643215156,0.0,99.8447459176092,44.46444356306036,57.12578179216856,29.07560412580533,189.8788211606448,51.19666722265734,25.428398770540902,75.6679128645217,21.22768593786755,2.8844225014673404,0.1952814151653594,1.7075222774249128,1.2781290160470518,1.912608879825075,4.043546063878303,22.87934423552117,7.628718486790874,14.776601070028338,2.1018442093250864,3.579022894726903,0.3026908001368969,0.6395162698934526,7.722421493891278,6.387195663123853,2.9883873982420135,0.7845753275185186,1.8865685623301949,8.69657193426326,0.7439302729033813,9.073775465645362,22.571107850287277,8.88310363453544,3.9516256177201425,5.232072914168132,2.583678840247553,0.26732800049616073,1.6247126474131324,2.272612166396767,2.7316729174697523,31.089501253953944,4.769106112134084,20.407574736573935,1.5936452944394528,1.499690501372779,3.7886333666162737,1.696824594945405,0.6096702026296499,9.976128374605361,0.6709650776990979,16.991374989262393,1.9699787447617292,1.614827214295484,0.7321529660834531,1.1134586421331458,0.40103902974221306,0.9157670590804827,3.7825133170829193,1.5946195360666449,1.2754055809675688,1.643887860545705,0.0
2020-05-04,107.48115765568707,5.858442454960782,42.00112268608406,43.456386545599756,44.73480088861183,75.2149181943498,178.1864164892516,230.47532197593196,313.5473295544369,64.34569899054077,72.21284163909506,5.246640535706215,18.705850894383488,200.10654235995645,148.70919337930883,214.484713719279,141.12548703739355,82.01776885384662,152.42048337083307,21.78652942074188,241.5656421491993,337.1986718239887,117.18258449937895,89.74749720245173,81.36113384876131,48.15884252677645,4.945568009178974,289.8635064134793,58.16031952370501,75.3311339163774,197.44165410943538,114.93545730243143,262.728248057001,49.2123115282884,73.67229587993779,54.00635757121715,50.03827422541131,23.23520883355221,111.44473610423239,1.2524681450383162,512.3034411445066,45.55922674505296,0.0,98.33860267309466,44.54327249347688,58.01697963604015,25.4125358894834,186.2636756894505,50.12733412200089,25.50811161935138,77.40994328390596,7.158173165094873,3.0883715672276577,0.1952814151653594,1.7075222774249128,1.4201433511633907,2.0174588940309865,3.597019504677019,21.797483825084967,6.601775613569026,14.776601070028338,2.234872323839332,3.592477868015351,0.10089693337896564,0.4796372024200894,7.6547798457696015,6.281096067390898,2.7619944135267085,0.7845753275185186,2.0464472540530925,9.956499316965708,1.062757532719116,9.262812454512975,22.07367296653438,8.511186252091123,3.217028547759347,5.85608161035332,2.4905732964548486,0.0,1.6985632222955476,2.8755500880938687,2.7316729174697523,30.011903435011924,4.428455675553079,20.011025965154364,1.5255407946770831,1.1247678760295843,3.7030835809184866,1.4802086892076936,0.5757996358168914,9.607882025207177,0.5367720621592783,17.93534026644364,1.7480093087322388,1.614827214295484,0.8367462469525179,1.1430194910393356,0.5347187063229506,0.9157670590804827,3.213462641061595,1.4257774675419417,1.0362670345361498,1.447602742868606,0.0
2020-05-05,92.27238446613201,3.905628303307189,41.76560237195648,43.03034354025075,45.660373427808835,69.1620026140657,190.04681209995957,233.1160322213596,313.95216793991716,64.97758253448345,67.50360098813861,5.044846668948283,18.94566949559353,201.27899759406546,145.950603890252,208.41738172890888,134.06430908972686,84.09619184624428,149.74697892461077,24.33714749926776,240.6204572048613,335.4576497308536,118.58442694089985,104.92072633715917,103.44144155992956,49.34593821013343,5.881216010915536,296.65775930266153,59.73723408814359,93.71739393780842,213.50912009634686,116.97935992191746,255.37740879420483,50.56078062358333,73.29737325459458,55.16739037711568,49.20791325341675,22.591668064109804,109.43611965296955,1.1182751294984967,516.0793022532315,48.55581413145108,0.1614827214295484,94.82426843589408,45.63702390300588,57.170341684362135,24.267827065632794,191.53576283494218,50.22113527118128,27.02265574675037,78.53858271054928,6.170838935426614,3.467134117925389,0.1952814151653594,2.0019226700843804,1.4674814628688375,2.0138433762997483,4.142774188145256,21.797483825084967,6.30836336407707,14.97902026276845,2.135101237953647,3.135008776208152,0.10089693337896564,0.3996976686834079,8.038082518459097,6.2174363099511245,3.2147803829573167,0.6374674536087964,2.1423744690868314,9.649199955330964,1.1690332859910277,9.239182830904522,21.99076715257557,7.867483090168265,3.445006948781663,5.520076927792065,2.6535079980920813,0.13366400024808037,1.9939655218252081,2.458131526918952,3.362058975347387,28.982556264679253,4.3603255882368765,19.239958909616306,1.566403494534505,1.1247678760295843,4.106389713493768,1.73292724590169,0.47418793537861653,14.462038449092335,0.6709650776990979,19.014157726079347,1.858994026746984,2.0992753785841294,0.8576649031263307,1.123312258435209,0.57927859851653,0.9157670590804827,3.196725856472733,1.4257774675419417,0.9565541857256765,1.3003889046107815,0.0
2020-05-06,91.10696123321591,4.100909718472548,43.80677842772879,47.38544981715181,46.87880290323615,70.50158229166956,198.2609374384567,230.47532197593196,329.94328416638615,59.456915782142225,63.05000482966266,4.338568135295524,20.224702035380442,203.36461507781715,148.1150356432043,198.72776198309387,106.65320858454864,83.39272560266352,150.9761763711498,23.69949297963629,242.5817159643628,330.13095118399974,116.72484002867827,120.67656694114591,105.69747299998372,54.001215399768675,4.544576008434732,310.0247133563786,54.960110554697316,88.46417678882814,220.8914693335765,112.68716442099678,243.96561637224156,54.38825351022851,74.42214113062417,54.458549295619726,46.8612409412582,22.72715033136084,106.59057968034723,1.0735441243185566,520.1248677268655,50.08185400415382,1.614827214295484,85.43179181385209,44.41517548155005,58.908177479911735,17.17063235775905,190.58176611337703,54.55474836331534,26.464665805077058,72.87084993762303,24.683355741706457,3.467134117925389,0.1952814151653594,3.375791169161897,1.325467127752498,2.0463830358808934,3.845089815344399,22.037897249626347,6.014951114585111,14.574181877288225,2.161706860856497,3.673207707746032,0.10089693337896564,0.4796372024200894,8.55666848739194,6.2386562290977166,3.2147803829573167,0.931683201428241,2.110398730742252,7.651754104705128,0.9564817794472047,8.624812617084785,21.451879361843275,7.424043134176962,3.5969925494632067,5.712079603541355,2.7931663137811378,0.0,1.3293103478834722,2.272612166396767,4.727895434082264,28.61263462534095,4.564715850185481,21.751434461940267,1.7026124940592446,2.2495357520591686,3.519762611566087,1.6246192930328347,0.47418793537861653,10.16583103944685,0.6709650776990979,18.205044631352564,1.942232565258043,2.5837235428727743,0.9413395278215827,1.1676535317944936,0.5347187063229506,0.9157670590804827,2.6946223188068585,1.2944558586893944,0.8768413369152036,1.324924544320419,0.0
2020-05-07,94.31187512373518,3.7103468881418293,44.415205905891696,49.37365050878056,47.06680982526055,72.38691665274165,201.62672538203597,216.39153400031807,309.09410731415437,56.47043461129741,61.17976354256852,4.136774268537591,19.825004366697033,207.7725958137463,141.40954119288156,190.93984330888742,102.38708024116669,80.41898193661763,145.1989483724166,24.018320239452024,239.55712414248094,322.7730601951549,111.44647410091083,126.19871043257533,102.62543018799511,53.558964066753326,4.009920007442411,328.2658053523352,52.54835886790892,79.2185146066228,217.61042522814114,108.32683883275992,224.78440542876152,53.816175712224606,76.29675425734015,54.89851962206548,42.56502547746026,22.083609561918426,104.7047120122171,1.1182751294984967,507.17905821123713,50.387061978694376,27.129097200164132,71.2489429280069,45.98682728172913,60.33409403010626,13.736505886207242,197.76184670199902,49.65832837609894,26.06610156102469,74.12216756281454,24.683355741706457,3.321456213810877,0.1952814151653594,2.5514700697153874,1.2781290160470518,1.9523795748686965,4.142774188145256,21.637208208724047,8.949073609504678,12.347570757146965,2.1018442093250864,3.0273689899005762,0.10089693337896564,0.3197581349467263,8.522847663331103,6.026457037631807,3.124223189071196,0.8826472434583337,2.1423744690868314,9.311170657532745,0.7439302729033813,8.601182993476334,21.182435466477127,7.266693472373597,4.838208288362482,5.520076927792065,3.0259301732629003,0.0,1.4770114976483024,1.9015734453523965,4.412702405143446,25.29942342083267,4.700976024817884,20.510383677312344,1.6072661943919269,2.2495357520591686,3.6175337952207,1.6246192930328347,0.6096702026296499,12.54269384010786,0.7156960828790377,18.60960117871596,2.025471103769102,2.2607581000136774,0.8995022154739568,1.1873607643986204,0.6683983829036882,0.9157670590804827,3.866197240027232,1.4445376973780197,0.5579899416733114,1.4230671031589686,0.0
