Chicago Heights,"$14,963"
Chicago Ridge,"$20,278"
Chillicothe,"$22,118"
Chrisman,"$16,651"
Christopher,"$15,141"
Cicero,"$12,489"
Cisco,"$17,722"
Cisne,"$14,044"
Cissna Park,"$18,285"
Claremont,"$15,606"
Clarendon Hills,"$41,859"
Clay City,"$13,776"
Clayton,"$13,882"
Clear Lake,"$15,284"
Cleveland,"$19,990"
Clifton,"$20,618"
Clinton,"$18,729"
Coal City,"$23,662"
Coal Valley,"$20,996"
Coalton,"$21,901"
Coatsburg,"$15,026"
Cobden,"$13,978"
Coffeen,"$13,755"
Colchester,"$15,354"
Coleta,"$17,439"
Colfax,"$17,993"
Collinsville,"$22,048"
Colona,"$17,265"
Colp,"$13,769"
Columbia,"$26,767"
Columbus,"$16,429"
Compton,"$13,205"
Concord,"$13,212"
Congerville,"$20,795"
Cooksville,"$16,984"
Cordova,"$21,442"
Cornell,"$18,655"
Cortland,"$18,775"
Coulterville,"$17,994"
Country Club Hills,"$21,561"
Countryside,"$25,449"
Cowden,"$12,583"
Coyne Center,"$19,093"
Crainville,"$17,911"
Creal Springs,"$13,483"
Crescent City,"$17,308"
Crest Hill,"$22,317"
Creston,"$18,927"
Crestwood,"$21,995"
Crete,"$29,671"
Creve Coeur,"$16,712"
Crossville,"$14,835"
Crystal Lake,"$26,146"
Crystal Lawns,"$20,369"
Cuba,"$16,608"
Cullom,"$17,207"
Cutler,"$13,678"
Cypress,"$13,849"
Dahlgren,"$13,862"
Dakota,"$18,440"
Dallas City,"$16,188"
Dalton City,"$16,946"
Dalzell,"$20,215"
Damiansville,"$18,985"
Dana,"$13,349"
Danforth,"$17,754"
Danvers,"$19,598"
Danville,"$16,476"
Darien,"$39,795"
Davis,"$18,595"
Davis Junction,"$16,915"
Dawson,"$19,686"
De Land,"$17,377"
De Pue,"$15,273"
De Soto,"$15,526"
De Witt,"$18,552"
Decatur,"$19,009"
Deer Creek,"$17,578"
Deer Grove,"$16,651"
Deer Park,"$61,429"
Deerfield,"$50,664"
DeKalb,"$16,261"
Delavan,"$18,734"
Des Plaines,"$24,146"
Detroit,"$11,127"
Diamond,"$20,223"
Dieterich,"$16,652"
Divernon,"$18,670"
Dix,"$12,463"
Dixmoor,"$11,712"
Dixon,"$16,630"
Dolton,"$18,102"
Dongola,"$11,917"
Donnellson,"$13,665"
Donovan,"$22,215"
Dorchester,"$17,753"
Dover,"$14,070"
Dowell,"$12,464"
Downers Grove,"$31,580"
Downs,"$22,468"
Du Bois,"$12,367"
Du Quoin,"$14,883"
Dunfermline,"$16,152"
Dunlap,"$20,407"
Dupo,"$18,505"
Durand,"$19,211"
Dwight,"$20,928"
Eagarville,"$18,605"
Earlville,"$16,722"
East Alton,"$15,572"
East Brooklyn,"$21,470"
East Cape Girardeau,"$14,420"
East Carondelet,"$13,402"
East Dubuque,"$20,984"
East Dundee,"$31,695"
East Galesburg,"$21,532"
East Gillespie,"$20,628"
East Hazel Crest,"$18,488"
East Moline,"$18,245"
East Peoria,"$20,147"
East St. Louis,"$11,169"
Easton,"$14,745"
Eddyville,"$13,084"
Edgewood,"$12,338"
Edinburg,"$18,243"
Edwardsville,"$26,510"
Effingham,"$19,132"
El Dara,"$11,422"
El Paso,"$21,730"
Elburn,"$26,781"
Eldorado,"$12,980"
Eldred,"$13,772"
Elgin,"$21,112"
Elizabeth,"$17,235"
Elizabethtown,"$17,567"
Elk Grove Village,"$28,515"
Elkhart,"$19,958"
Elkville,"$12,475"
Elliott,"$18,203"
Ellis Grove,"$14,527"
Ellisville,"$16,225"
Ellsworth,"$18,439"
Elmhurst,"$32,015"
Elmwood,"$19,797"
Elmwood Park,"$22,526"
Elsah,"$13,154"
Elvaston,"$27,947"
Elwood,"$22,442"
Emden,"$17,082"
Emington,"$12,183"
Energy,"$14,656"
Enfield,"$13,455"
Equality,"$12,961"
Erie,"$18,775"
Essex,"$18,686"
Eureka,"$20,460"
Evanston,"$33,645"
Evansville,"$20,194"
Evergreen Park,"$23,038"
Ewing,"$14,917"
Exeter,"$18,968"
Fairbury,"$19,145"
Fairfield,"$16,791"
Fairmont,"$17,260"
Fairmont City,"$12,203"
Fairmount,"$16,691"
Fairview,"$18,677"
Fairview Heights,"$22,614"
Farina,"$17,068"
Farmer City,"$19,946"
Farmersville,"$16,606"
Farmington,"$19,336"
Fayetteville,"$12,163"
Ferris,"$16,341"
Fidelity,"$7,798"
Fieldon,"$14,811"
Fillmore,"$14,363"
Findlay,"$15,990"
Fisher,"$18,262"
Fithian,"$19,856"
Flanagan,"$19,767"
Flat Rock,"$16,398"
Flora,"$15,653"
Florence,"$9,878"
Flossmoor,"$42,820"
Foosland,"$20,173"
Ford Heights,"$8,938"
Forest City,"$13,855"
Forest Lake,"$28,737"
Forest Park,"$26,045"
Forest View,"$21,376"
Forrest,"$17,707"
Forreston,"$16,958"
Forsyth,"$34,010"
Fox Lake,"$24,350"
Fox Lake Hills,"$27,343"
Fox River Grove,"$28,870"
Frankfort,"$33,968"
Frankfort Square,"$22,038"
Franklin,"$16,327"
Franklin Grove,"$15,427"
Franklin Park,"$17,550"
Freeburg,"$19,851"
Freeman Spur,"$11,416"
Freeport,"$18,680"
Fulton,"$19,845"
Fults,"$11,389"
Gages Lake,"$28,391"
Galatia,"$12,810"
Galena,"$19,773"
Galesburg,"$17,214"
Galva,"$17,165"
Gardner,"$18,995"
Garrett,"$10,920"
Gays,"$19,131"
Geneseo,"$20,115"
Geneva,"$33,026"
Genoa,"$19,239"
Georgetown,"$14,275"
German Valley,"$18,564"
Germantown,"$21,851"
Germantown Hills,"$27,350"
Gibson City,"$18,926"
Gifford,"$22,040"
Gilberts,"$31,898"
Gillespie,"$19,042"
Gilman,"$17,396"
Girard,"$15,090"
Gladstone,"$16,245"
Glasford,"$16,754"
Glasgow,"$11,172"
Glen Carbon,"$26,374"
Glen Ellyn,"$39,783"
Glencoe,"$94,900"
Glendale Heights,"$21,911"
Glenview,"$52,326"
Glenview,"$43,384"
Glenwood,"$24,356"
Godfrey,"$25,292"
Godley,"$14,238"
Golconda,"$14,698"
Golden,"$16,518"
Golden Gate,"$10,214"
Golf,"$52,859"
Good Hope,"$14,555"
Goodfield,"$20,099"
Goreville,"$16,491"
Gorham,"$11,739"
Grafton,"$21,989"
Grand Ridge,"$18,287"
Grand Tower,"$14,525"
Grandview,"$17,499"
Grandwood Park,"$30,912"
Granite City,"$17,691"
Grant Park,"$22,403"
Grantfork,"$17,415"
Granville,"$20,074"
Grayslake,"$28,898"
Grayville,"$14,318"
Green Oaks,"$51,066"
Green Valley,"$17,830"
Greenfield,"$16,386"
Greenup,"$18,179"
Greenview,"$21,050"
Greenville,"$17,326"
Greenwood,"$19,216"
Gridley,"$19,752"
Griggsville,"$14,578"
Gulf Port,"$16,918"
Gurnee,"$31,517"
Hainesville,"$22,250"
Hamburg,"$17,290"
Hamel,"$19,062"
Hamilton,"$18,775"
Hammond,"$19,313"
Hampshire,"$22,143"
Hampton,"$22,492"
Hanaford,"$46,500"
Hanna City,"$20,710"
Hanover,"$17,535"
Hanover Park,"$19,960"
Hardin,"$17,461"
Harmon,"$14,697"
Harrisburg,"$15,005"
Harristown,"$18,689"
Hartford,"$16,160"
Hartsburg,"$17,057"
Harvard,"$17,253"
Harvel,"$15,740"
Harvey,"$12,336"
Harwood Heights,"$22,558"
Havana,"$16,781"
Hawthorn Woods,"$49,346"
Hazel Crest,"$19,908"
Hebron,"$18,829"
Hecker,"$18,423"
Henderson,"$17,114"
Hennepin,"$23,981"
Henning,"$18,974"
Henry,"$18,473"
Herrick,"$11,243"
Herrin,"$16,782"
Herscher,"$18,522"
Hettick,"$14,117"
Heyworth,"$20,655"
Hickory Hills,"$23,747"
Hidalgo,"$13,167"
Highland,"$21,101"
Highland Park,"$68,688"
Highwood,"$24,138"
Hillcrest,"$15,340"
Hillsboro,"$17,458"
Hillsdale,"$21,772"
Hillside,"$21,638"
Hillview,"$9,157"
Hinckley,"$23,491"
Hindsboro,"$14,014"
Hines,"$29,095"
Hinsdale,"$63,765"
Hodgkins,"$17,920"
Hoffman,"$19,897"
Hoffman Estates,"$26,669"
Holiday Hills,"$20,883"
Hollowayville,"$15,825"
Homer,"$18,788"
Homer Glen,"$31,472"
Hometown,"$19,149"
Homewood,"$26,074"
Hoopeston,"$15,055"
Hooppole,"$16,638"
Hopedale,"$17,784"
Hopewell,"$25,143"
Hopkins Park,"$8,788"
Hoyleton,"$16,543"
Hudson,"$22,141"
Huey,"$17,695"
Hull,"$13,821"
Humboldt,"$16,244"
Hume,"$14,970"
Huntley,"$27,451"
Hurst,"$12,583"
Hutsonville,"$15,774"
Illiopolis,"$19,473"
Ina,"$8,596"
Indian Creek,"$33,515"
Indian Head Park,"$40,094"
Indianola,"$16,284"
Industry,"$14,411"
Ingalls Park,"$18,628"
Inverness,"$91,623"
Iola,"$9,631"
Ipava,"$16,007"
Iroquois,"$16,624"
Irving,"$12,144"
Irvington,"$16,541"
Irwin,"$19,027"
Island Lake,"$24,206"
Itasca,"$34,117"
Iuka,"$11,520"
Ivesdale,"$18,829"
Jacksonville,"$17,482"
Jeffersonville,"$11,882"
Jeisyville,"$16,947"
Jerome,"$23,350"
Jerseyville,"$20,178"
Jewett,"$16,628"
Johnsburg,"$27,582"
Johnsonville,"$15,411"
Johnston City,"$12,764"
Joliet,"$19,390"
Jonesboro,"$15,372"
Joppa,"$8,890"
