statename,2021-02-20
Alabama,-11.348308730520497
Arizona,-3.6505648689773995
Arkansas,-4.99417078492459
California,-3.810755688725198
Colorado,-0.9054566339359393
Connecticut,-1.7229628758798778
Delaware,-0.14670612474598066
Florida,-0.7183518183769291
Georgia,-1.2916774356909126
Idaho,-0.9193046379718384
Illinois,-1.5839419268492323
Indiana,-15.649690370610772
Iowa,-8.897244299311447
Kansas,0.24517978984953892
Kentucky,-3.6452341712820706
Louisiana,-3.5185776907178186
Maine,-3.5070998579730843
Maryland,-1.4650366637239927
Massachusetts,0.010363226744850351
Michigan,-1.3231676106192087
Minnesota,-1.1652229385585033
Mississippi,-5.448075924386083
Missouri,-0.32586940327446623
Montana,-9.490144017613705
Nebraska,-0.4061781618532829
Nevada,-2.6204609673758643
New Hampshire,-3.256994632367782
New Jersey,-1.286683962915836
New Mexico,-1.6010570519307281
New York,-1.7440802446694175
North Carolina,-2.5198664912076785
North Dakota,-0.8435759070221882
Ohio,25.206633285955043
Oklahoma,-2.454980265027393
Oregon,0.1693528340637913
Pennsylvania,-3.883325139108127
Rhode Island,1.8205044631352578
South Carolina,-6.756194709147625
South Dakota,-4.279292117883034
Tennessee,-10.375653462211224
Texas,-4.0030316227131895
Utah,-0.9357577360651645
Vermont,0.22894176477012085
Virginia,-2.259465919496434
Washington,0.3564443668854853
West Virginia,-4.46391953338649
Wisconsin,-2.0487259157547215
Wyoming,-1.8512516806279828
