,count,count,count,tested,tested,tested,7daypos100k,7daypos100k,7daypos100k,percentage,percentage,percentage,count_14day,count_14day,count_14day,tested_14day,tested_14day,tested_14day,percentage_14day,percentage_14day,percentage_14day,7daypos100k_14day,7daypos100k_14day,7daypos100k_14day,population,population,population
zip,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304
date,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-31,0.0,0.0,-2.0,1.0,33.0,20.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-01,0.0,0.0,0.0,3.0,45.0,22.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-02,1.0,2.0,0.0,7.0,35.0,18.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-03,1.0,-1.0,1.0,4.0,58.0,18.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-04,0.0,0.0,0.0,2.0,28.0,23.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-05,0.0,3.0,0.0,3.0,55.0,15.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-06,0.0,1.0,1.0,2.0,66.0,24.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-07,0.0,3.0,-1.0,3.0,70.0,21.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-08,0.0,0.0,0.0,3.0,42.0,21.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-09,0.0,2.0,1.0,5.0,47.0,24.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-10,0.0,0.0,1.0,6.0,43.0,18.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-11,0.0,2.0,0.0,2.0,43.0,17.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-12,0.0,0.0,0.0,4.0,67.0,33.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-13,0.0,0.0,3.0,5.0,75.0,24.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-14,0.0,0.0,1.0,23.0,55.0,27.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-15,2.0,-1.0,1.0,3.0,52.0,22.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-16,0.0,1.0,-1.0,8.0,42.0,12.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-17,0.0,2.0,0.0,1.0,52.0,34.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-18,0.0,2.0,0.0,8.0,59.0,36.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-19,0.0,1.0,1.0,4.0,65.0,15.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-20,1.0,-1.0,0.0,3.0,89.0,25.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-21,0.0,1.0,0.0,5.0,85.0,46.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-22,0.0,2.0,0.0,7.0,39.0,24.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-23,0.0,0.0,0.0,6.0,41.0,13.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-24,0.0,0.0,1.0,12.0,65.0,28.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-25,0.0,1.0,0.0,7.0,89.0,38.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-26,1.0,1.0,1.0,6.0,79.0,32.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-27,0.0,2.0,1.0,5.0,89.0,46.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-28,0.0,1.0,1.0,10.0,118.0,21.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-29,0.0,0.0,0.0,5.0,58.0,24.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-30,1.0,2.0,2.0,6.0,73.0,31.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-01,0.0,1.0,0.0,11.0,87.0,31.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-02,1.0,3.0,1.0,7.0,80.0,40.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-03,0.0,3.0,0.0,10.0,75.0,48.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-04,-1.0,3.0,0.0,10.0,117.0,69.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-05,0.0,2.0,0.0,9.0,120.0,47.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-06,0.0,0.0,0.0,7.0,36.0,18.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-07,1.0,0.0,0.0,5.0,43.0,26.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-08,0.0,1.0,0.0,5.0,68.0,37.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-09,1.0,2.0,0.0,10.0,140.0,45.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-10,-1.0,1.0,1.0,11.0,103.0,51.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-11,0.0,4.0,2.0,10.0,119.0,66.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-12,0.0,2.0,0.0,5.0,177.0,86.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-13,1.0,0.0,1.0,11.0,87.0,42.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-14,0.0,0.0,0.0,4.0,43.0,22.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
