date,count,tested,percentage,count_14day,tested_14day,percentage_14day,Unknown tested,Unknown count,Unknown percentage,<20 tested,<20 count,<20 percentage,20-29 tested,20-29 count,20-29 percentage,30-39 tested,30-39 count,30-39 percentage,40-49 tested,40-49 count,40-49 percentage,50-59 tested,50-59 count,50-59 percentage,60-69 tested,60-69 count,60-69 percentage,70-79 tested,70-79 count,70-79 percentage,80+ tested,80+ count,80+ percentage,Unknown tested_14day,Unknown count_14day,Unknown percentage_14day,<20 tested_14day,<20 count_14day,<20 percentage_14day,20-29 tested_14day,20-29 count_14day,20-29 percentage_14day,30-39 tested_14day,30-39 count_14day,30-39 percentage_14day,40-49 tested_14day,40-49 count_14day,40-49 percentage_14day,50-59 tested_14day,50-59 count_14day,50-59 percentage_14day,60-69 tested_14day,60-69 count_14day,60-69 percentage_14day,70-79 tested_14day,70-79 count_14day,70-79 percentage_14day,80+ tested_14day,80+ count_14day,80+ percentage_14day
2020-05-05,4.0,51.0,0.0784313725490196,4.428571428571429,43.857142857142854,0.10097719869706842,0.0,0.0,,4.0,0.0,0.0,9.0,0.0,0.0,8.0,2.0,0.25,8.0,1.0,0.125,8.0,-1.0,-0.125,7.0,2.0,0.2857142857142857,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,2.0714285714285716,0.0,0.0,5.642857142857143,0.5714285714285714,0.10126582278481011,6.785714285714286,0.6428571428571429,0.09473684210526316,5.928571428571429,0.9285714285714286,0.1566265060240964,6.642857142857143,0.7142857142857143,0.10752688172043011,6.0,0.8571428571428571,0.14285714285714285,4.0,0.7857142857142857,0.19642857142857142,1.8571428571428572,0.5,0.2692307692307692
2020-05-06,3.0,52.0,0.057692307692307696,4.357142857142857,45.142857142857146,0.09651898734177214,0.0,0.0,,3.0,0.0,0.0,7.0,1.0,0.14285714285714285,9.0,2.0,0.2222222222222222,9.0,1.0,0.1111111111111111,9.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.2142857142857144,0.0,0.0,6.071428571428571,0.6428571428571429,0.10588235294117648,7.285714285714286,0.7142857142857143,0.09803921568627451,6.571428571428571,0.8571428571428571,0.13043478260869565,7.071428571428571,0.6428571428571429,0.09090909090909093,6.428571428571429,0.7142857142857143,0.1111111111111111,4.428571428571429,0.5714285714285714,0.12903225806451613,2.0,0.42857142857142855,0.21428571428571427
2020-05-07,4.0,48.0,0.08333333333333333,4.285714285714286,46.357142857142854,0.09244992295839753,0.0,0.0,,6.0,0.0,0.0,8.0,6.0,0.75,6.0,1.0,0.16666666666666666,2.0,0.0,0.0,8.0,1.0,0.125,6.0,0.0,0.0,8.0,1.0,0.125,4.0,0.0,0.0,0.0,0.0,,2.5,0.0,0.0,6.642857142857143,1.0714285714285714,0.16129032258064516,7.571428571428571,0.7142857142857143,0.09433962264150944,6.785714285714286,0.8571428571428571,0.12631578947368421,7.571428571428571,0.7142857142857143,0.09433962264150944,6.857142857142857,0.7142857142857143,0.10416666666666667,5.071428571428571,0.5714285714285714,0.11267605633802817,2.2857142857142856,0.42857142857142855,0.1875
2020-05-08,3.0,39.0,0.07692307692307693,4.214285714285714,46.92857142857143,0.0898021308980213,0.0,0.0,,5.0,0.0,0.0,3.0,1.0,0.3333333333333333,4.0,0.0,0.0,8.0,0.0,0.0,8.0,1.0,0.125,6.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.3333333333333333,0.0,0.0,,2.7857142857142856,0.0,0.0,6.785714285714286,1.1428571428571428,0.16842105263157894,7.714285714285714,0.7142857142857143,0.09259259259259259,7.428571428571429,0.7857142857142857,0.10576923076923077,7.928571428571429,0.7142857142857143,0.09009009009009009,7.285714285714286,0.7142857142857143,0.09803921568627451,5.357142857142857,0.42857142857142855,0.08,2.5,0.42857142857142855,0.17142857142857143
2020-05-09,4.0,39.0,0.10256410256410256,4.285714285714286,46.57142857142857,0.09202453987730061,0.0,0.0,,4.0,0.0,0.0,4.0,0.0,0.0,5.0,1.0,0.2,7.0,2.0,0.2857142857142857,9.0,1.0,0.1111111111111111,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,6.785714285714286,1.1428571428571428,0.16842105263157894,7.5,0.7857142857142857,0.10476190476190476,7.5,0.8571428571428571,0.11428571428571428,8.0,0.7857142857142857,0.09821428571428571,7.142857142857143,0.6428571428571429,0.09,5.0,0.42857142857142855,0.08571428571428572,2.4285714285714284,0.42857142857142855,0.17647058823529413
2020-05-10,4.0,40.0,0.1,4.357142857142857,46.357142857142854,0.09399075500770415,0.0,0.0,,4.0,0.0,0.0,4.0,1.0,0.25,4.0,2.0,0.5,8.0,1.0,0.125,8.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,3.142857142857143,0.0,0.0,6.642857142857143,1.2142857142857142,0.18279569892473116,7.357142857142857,0.9285714285714286,0.1262135922330097,7.571428571428571,0.8571428571428571,0.11320754716981132,8.0,0.7857142857142857,0.09821428571428571,6.928571428571429,0.6428571428571429,0.09278350515463918,4.785714285714286,0.35714285714285715,0.0746268656716418,2.4285714285714284,0.42857142857142855,0.17647058823529413
2020-05-11,3.0,39.0,0.07692307692307693,4.357142857142857,46.0,0.09472049689440994,0.0,0.0,,5.0,0.0,0.0,3.0,1.0,0.3333333333333333,4.0,0.0,0.0,8.0,0.0,0.0,8.0,1.0,0.125,6.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.3333333333333333,0.0,0.0,,3.4285714285714284,0.0,0.0,6.571428571428571,1.2857142857142858,0.1956521739130435,7.071428571428571,0.9285714285714286,0.13131313131313133,7.714285714285714,0.7857142857142857,0.10185185185185185,8.0,0.8571428571428571,0.10714285714285714,6.785714285714286,0.5714285714285714,0.08421052631578947,4.571428571428571,0.35714285714285715,0.078125,2.4285714285714284,0.5,0.2058823529411765
2020-05-12,6.0,87.0,0.06896551724137931,4.357142857142857,48.214285714285715,0.09037037037037036,0.0,0.0,,7.0,0.0,0.0,10.0,1.0,0.1,13.0,2.0,0.15384615384615385,11.0,1.0,0.09090909090909091,11.0,2.0,0.18181818181818182,11.0,0.0,0.0,9.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,,3.7857142857142856,0.0,0.0,6.428571428571429,1.3571428571428572,0.2111111111111111,7.285714285714286,1.0714285714285714,0.14705882352941177,7.642857142857143,0.7142857142857143,0.09345794392523364,8.0,0.7857142857142857,0.09821428571428571,7.071428571428571,0.5714285714285714,0.0808080808080808,4.928571428571429,0.2857142857142857,0.05797101449275362,3.142857142857143,0.42857142857142855,0.13636363636363635
2020-05-13,7.0,85.0,0.08235294117647059,4.428571428571429,50.142857142857146,0.08831908831908832,0.0,0.0,,7.0,0.0,0.0,11.0,1.0,0.09090909090909091,13.0,2.0,0.15384615384615385,12.0,1.0,0.08333333333333333,12.0,2.0,0.16666666666666666,10.0,0.0,0.0,10.0,1.0,0.1,14.0,1.0,0.07142857142857142,0.0,0.0,,4.214285714285714,0.0,0.0,6.5,1.4285714285714286,0.21978021978021978,7.357142857142857,1.1428571428571428,0.1553398058252427,7.785714285714286,0.7142857142857143,0.09174311926605505,8.142857142857142,0.7142857142857143,0.08771929824561404,7.285714285714286,0.5714285714285714,0.0784313725490196,5.285714285714286,0.2857142857142857,0.05405405405405405,3.9285714285714284,0.42857142857142855,0.10909090909090909
2020-05-14,7.0,88.0,0.07954545454545454,4.642857142857143,51.357142857142854,0.09040333796940196,0.0,0.0,,9.0,0.0,0.0,11.0,1.0,0.09090909090909091,13.0,2.0,0.15384615384615385,10.0,2.0,0.2,10.0,2.0,0.2,10.0,1.0,0.1,9.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,,4.571428571428571,0.0,0.0,6.571428571428571,1.0714285714285714,0.16304347826086957,7.214285714285714,1.3571428571428572,0.18811881188118812,7.214285714285714,0.7857142857142857,0.10891089108910891,8.285714285714286,0.7857142857142857,0.09482758620689655,7.571428571428571,0.6428571428571429,0.0849056603773585,5.5,0.2857142857142857,0.051948051948051945,4.571428571428571,0.2857142857142857,0.0625
