,deaths,deaths,deaths,count,count,count,tested,tested,tested,percentage,percentage,percentage,deaths_per_million,deaths_per_million,deaths_per_million,deaths_7day,deaths_7day,deaths_7day,count_7day,count_7day,count_7day,tested_7day,tested_7day,tested_7day,percentage_7day,percentage_7day,percentage_7day,deaths_per_million_7day,deaths_per_million_7day,deaths_per_million_7day,deaths_14day,deaths_14day,deaths_14day,count_14day,count_14day,count_14day,tested_14day,tested_14day,tested_14day,percentage_14day,percentage_14day,percentage_14day,deaths_per_million_14day,deaths_per_million_14day,deaths_per_million_14day,population,population,population
region,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29,18.0,15.0,3.0,1105.0,1048.0,54.0,2333.0,0.0,0.0,0.473639091298757,inf,inf,1.4285714285714286,1.6535419530050148,0.8471190188102778,8.428571428571429,7.857142857142857,0.5714285714285714,549.0,528.4285714285714,20.142857142857142,3073.5714285714284,0.0,0.0,0.17861956774343482,inf,inf,0.6689342403628118,0.8661410230026267,0.16135600358291005,,,,,,,,,,,,,,,,12600000.0,9071436.0,3541415.0
2020-03-30,7.0,6.0,1.0,460.0,427.0,33.0,2684.0,0.0,0.0,0.17138599105812222,inf,inf,0.5555555555555556,0.661416781202006,0.2823730062700926,9.0,8.428571428571429,0.5714285714285714,572.4285714285714,547.2857142857143,24.142857142857142,3153.1428571428573,0.0,0.0,0.18154222544400145,inf,inf,0.7142857142857143,0.9291330974028179,0.16135600358291005,,,,,,,,,,,,,,,,12600000.0,9071436.0,3541415.0
2020-03-31,26.0,23.0,3.0,938.0,897.0,32.0,4779.0,0.0,0.0,0.19627537141661436,inf,inf,2.0634920634920637,2.5354309946076894,0.8471190188102778,11.714285714285714,10.714285714285714,1.0,637.0,607.2857142857143,27.285714285714285,3391.4285714285716,0.0,0.0,0.18782645324347091,inf,inf,0.929705215419501,1.1811013950035818,0.2823730062700926,,,,,,,,,,,,,,,,12600000.0,9071436.0,3541415.0
2020-04-01,43.0,42.0,1.0,986.0,914.0,64.0,5159.0,0.0,0.0,0.1911223105252956,inf,inf,3.4126984126984126,4.629917468414042,0.2823730062700926,17.428571428571427,16.285714285714285,1.1428571428571428,730.7142857142857,692.8571428571429,34.57142857142857,3739.285714285714,0.0,0.0,0.19541547277936963,inf,inf,1.3832199546485258,1.7952741204054448,0.3227120071658201,10.071428571428571,9.285714285714286,0.7142857142857143,487.14285714285717,464.5,20.857142857142858,2884.5714285714284,0.0,0.0,0.168878763866878,inf,inf,0.7993197278911565,1.0236212090031047,0.20169500447863759,12600000.0,9071436.0,3541415.0
2020-04-02,16.0,14.0,1.0,715.0,642.0,61.0,3272.0,0.0,0.0,0.21852078239608802,inf,inf,1.2698412698412698,1.5433058228046805,0.2823730062700926,18.714285714285715,17.285714285714285,1.2857142857142858,736.7142857142857,691.7142857142857,39.714285714285715,3860.714285714286,0.0,0.0,0.1908233117483811,inf,inf,1.485260770975057,1.9055102506057788,0.36305100806154766,11.142857142857142,10.285714285714286,0.7857142857142857,529.0714285714286,502.85714285714283,24.714285714285715,3118.285714285714,0.0,0.0,0.16966739967014843,inf,inf,0.8843537414965985,1.133857339203439,0.2218645049265013,12600000.0,9071436.0,3541415.0
2020-04-03,53.0,52.0,1.0,1209.0,1196.0,50.0,4392.0,0.0,0.0,0.27527322404371585,inf,inf,4.2063492063492065,5.732278770417385,0.2823730062700926,25.142857142857142,23.571428571428573,1.4285714285714286,839.7142857142857,794.8571428571429,44.714285714285715,3786.5714285714284,0.0,0.0,0.2217611106919188,inf,inf,1.9954648526077097,2.5984230690078807,0.40339000895727517,14.785714285714286,13.928571428571429,0.7857142857142857,605.8571428571429,578.3571428571429,27.928571428571427,3432.0,0.0,0.0,0.17653180153180154,inf,inf,1.1734693877551021,1.5354318135046567,0.2218645049265013,12600000.0,9071436.0,3541415.0
2020-04-04,33.0,32.0,1.0,1453.0,1288.0,104.0,5533.0,0.0,0.0,0.2626061810952467,inf,inf,2.619047619047619,3.5275561664106982,0.2823730062700926,28.0,26.285714285714285,1.5714285714285714,980.8571428571429,916.0,56.857142857142854,4021.714285714286,0.0,0.0,0.24389030974708725,inf,inf,2.2222222222222223,2.8976354224087877,0.4437290098530026,17.0,16.071428571428573,0.7857142857142857,698.0,659.0714285714286,34.857142857142854,3521.0714285714284,0.0,0.0,0.19823511512323766,inf,inf,1.3492063492063493,1.7716520925053731,0.2218645049265013,12600000.0,9071436.0,3541415.0
2020-04-05,31.0,29.0,2.0,899.0,835.0,63.0,5402.0,0.0,0.0,0.16641984450203628,inf,inf,2.4603174603174605,3.1968477758096956,0.5647460125401852,29.857142857142858,28.285714285714285,1.4285714285714286,951.4285714285714,885.5714285714286,58.142857142857146,4460.142857142857,0.0,0.0,0.21331795906601328,inf,inf,2.369614512471655,3.1181076828094563,0.40339000895727517,19.142857142857142,18.071428571428573,1.0,750.2142857142857,707.0,39.142857142857146,3766.8571428571427,0.0,0.0,0.19916186286407767,inf,inf,1.5192743764172334,1.9921243529060422,0.2823730062700926,12600000.0,9071436.0,3541415.0
2020-04-06,33.0,33.0,0.0,1006.0,922.0,74.0,3959.0,0.0,0.0,0.2541045718615812,inf,inf,2.619047619047619,3.6377922966110328,0.0,33.57142857142857,32.142857142857146,1.2857142857142858,1029.4285714285713,956.2857142857143,64.0,4642.285714285715,0.0,0.0,0.22175036927621858,inf,inf,2.664399092970521,3.5433041850107463,0.36305100806154766,21.285714285714285,20.285714285714285,0.9285714285714286,800.9285714285714,751.7857142857143,44.07142857142857,3897.714285714286,0.0,0.0,0.20548673215071103,inf,inf,1.6893424036281177,2.236218641206782,0.26220350582222884,12600000.0,9071436.0,3541415.0
2020-04-07,73.0,67.0,6.0,1287.0,1192.0,107.0,5790.0,0.0,0.0,0.22227979274611398,inf,inf,5.7936507936507935,7.3858207234224,1.6942380376205557,40.285714285714285,38.42857142857143,1.7142857142857142,1079.2857142857142,998.4285714285714,74.71428571428571,4786.714285714285,0.0,0.0,0.2254752738233802,inf,inf,3.197278911564626,4.236217003412848,0.4840680107487301,26.0,24.571428571428573,1.3571428571428572,858.1428571428571,802.8571428571429,51.0,4089.0714285714284,0.0,0.0,0.20986252554719023,inf,inf,2.0634920634920637,2.708659199208215,0.3832205085094114,12600000.0,9071436.0,3541415.0
2020-04-08,82.0,78.0,4.0,1529.0,1404.0,121.0,6334.0,0.0,0.0,0.24139564256394064,inf,inf,6.507936507936508,8.598418155626078,1.1294920250803704,45.857142857142854,43.57142857142857,2.142857142857143,1156.857142857143,1068.4285714285713,82.85714285714286,4954.571428571428,0.0,0.0,0.23349287815004902,inf,inf,3.6394557823129245,4.8031456730145665,0.6050850134359127,31.642857142857142,29.928571428571427,1.6428571428571428,943.7857142857143,880.6428571428571,58.714285714285715,4346.928571428572,0.0,0.0,0.2171155331350543,inf,inf,2.5113378684807257,3.2992098967100056,0.4638985103008664,12600000.0,9071436.0,3541415.0
2020-04-09,66.0,62.0,4.0,1344.0,1205.0,135.0,5791.0,0.0,0.0,0.23208426869279916,inf,inf,5.238095238095238,6.834640072420728,1.1294920250803704,53.0,50.42857142857143,2.5714285714285716,1246.7142857142858,1148.857142857143,93.42857142857143,5314.428571428572,0.0,0.0,0.2345904679981721,inf,inf,4.2063492063492065,5.55905056581686,0.7261020161230953,35.857142857142854,33.857142857142854,1.9285714285714286,991.7142857142857,920.2857142857143,66.57142857142857,4587.571428571428,0.0,0.0,0.2161741350854794,inf,inf,2.845804988662131,3.7322804082113183,0.5445765120923215,12600000.0,9071436.0,3541415.0
2020-04-10,68.0,66.0,2.0,1465.0,1354.0,98.0,6670.0,0.0,0.0,0.21964017991004497,inf,inf,5.396825396825397,7.2755845932220655,0.5647460125401852,55.142857142857146,52.42857142857143,2.7142857142857144,1283.2857142857142,1171.4285714285713,100.28571428571429,5639.857142857143,0.0,0.0,0.22753869145621722,inf,inf,4.376417233560091,5.779522826217528,0.7664410170188228,40.142857142857146,38.0,2.0714285714285716,1061.5,983.1428571428571,72.5,4713.214285714285,0.0,0.0,0.22521785254224447,inf,inf,3.1859410430839006,4.1889729476127044,0.584915512988049,12600000.0,9071436.0,3541415.0
