,deaths,count,tested,percentage,deaths_per_million,count_per_million,deaths_7day,count_7day,tested_7day,percentage_7day,deaths_per_million_7day,count_per_million_7day,deaths_14day,count_14day,tested_14day,percentage_14day,deaths_per_million_14day,count_per_million_14day,population
2020-10-16,38.0,4554.0,87759.0,0.05189211362937134,3.015873015873016,361.42857142857144,36.42857142857143,3639.1428571428573,73284.0,0.04965808167052641,2.8911564625850343,288.8208616780046,33.5,2909.5714285714284,66309.35714285714,0.0438787458352678,2.6587301587301586,230.91836734693877,12600000
2020-10-17,27.0,3629.0,77489.0,0.04683245363858096,2.142857142857143,288.015873015873,35.285714285714285,3755.0,74125.42857142857,0.050657379962149106,2.8004535147392287,298.015873015873,32.07142857142857,3011.214285714286,66652.07142857143,0.04517810506371573,2.5453514739229024,238.98526077097506,12600000
2020-10-18,22.0,4245.0,79296.0,0.05353359564164649,1.746031746031746,336.9047619047619,34.142857142857146,3946.4285714285716,75988.28571428571,0.05193469670137127,2.7097505668934248,313.20861678004536,31.428571428571427,3140.0,67199.35714285714,0.04672663747846227,2.494331065759637,249.20634920634922,12600000
2020-10-19,22.0,3113.0,48684.0,0.06394297921288308,1.746031746031746,247.06349206349208,34.142857142857146,3609.8571428571427,66996.57142857143,0.05388122206680085,2.7097505668934248,286.4965986394557,31.785714285714285,3258.5714285714284,66987.07142857143,0.04864478113580552,2.522675736961451,258.61678004535145,12600000
2020-10-20,40.0,3714.0,59077.0,0.06286710564178953,3.1746031746031744,294.76190476190476,35.857142857142854,3733.1428571428573,67437.14285714286,0.0553573698258696,2.845804988662131,296.28117913832205,33.642857142857146,3391.5,71206.85714285714,0.04762883991910891,2.6700680272108848,269.1666666666667,12600000
2020-10-21,67.0,4342.0,66791.0,0.06500875866508961,5.317460317460317,344.6031746031746,38.42857142857143,3944.5714285714284,69454.57142857143,0.056793546449683444,3.049886621315193,313.0612244897959,36.214285714285715,3586.1428571428573,69688.28571428571,0.05145976573230181,2.8741496598639458,284.61451247165536,12600000
2020-10-22,44.0,4942.0,80977.0,0.06102967509292762,3.492063492063492,392.22222222222223,37.142857142857146,4077.0,71439.0,0.05706966782849704,2.9478458049886624,323.57142857142856,36.357142857142854,3751.285714285714,71270.92857142857,0.05263416359906314,2.8854875283446706,297.72108843537416,12600000
2020-10-23,31.0,3874.0,82256.0,0.04709686831355767,2.4603174603174605,307.46031746031747,36.142857142857146,3979.8571428571427,70652.85714285714,0.05632974098712012,2.8684807256235834,315.8616780045351,36.285714285714285,3809.5,71968.42857142857,0.05293293289319325,2.879818594104308,302.3412698412698,12600000
2020-10-24,63.0,6161.0,83517.0,0.07376941221547709,5.0,488.968253968254,41.285714285714285,4341.571428571428,71514.0,0.060709391567685046,3.276643990929705,344.5691609977324,38.285714285714285,4048.285714285714,72819.71428571429,0.05559326555995433,3.038548752834467,321.2925170068027,12600000
2020-10-25,24.0,4062.0,72097.0,0.05634076313854945,1.9047619047619047,322.3809523809524,41.57142857142857,4315.428571428572,70485.57142857143,0.06122428298395416,3.299319727891156,342.49433106575964,37.857142857142854,4130.928571428572,73236.92857142857,0.05640499474796576,3.0045351473922897,327.8514739229025,12600000
2020-10-26,17.0,4729.0,57264.0,0.08258242525845208,1.3492063492063493,375.3174603174603,40.857142857142854,4546.285714285715,71711.28571428571,0.06339707437960553,3.242630385487528,360.8163265306123,37.5,4078.0714285714284,69353.92857142857,0.058800871307115164,2.9761904761904763,323.656462585034,12600000
2020-10-27,46.0,4000.0,62074.0,0.06443921770789703,3.6507936507936507,317.46031746031747,41.714285714285715,4587.142857142857,72139.42857142857,0.06358718038084979,3.310657596371882,364.0589569160997,38.785714285714285,4160.142857142857,69788.28571428571,0.059610904818246206,3.078231292517007,330.1700680272109,12600000
2020-10-28,51.0,6110.0,70752.0,0.0863579828132067,4.0476190476190474,484.92063492063494,39.42857142857143,4839.714285714285,72705.28571428571,0.06656619581598508,3.1292517006802725,384.1043083900226,38.92857142857143,4392.142857142857,71079.92857142857,0.061791604823141756,3.089569160997733,348.5827664399093,12600000
2020-10-29,56.0,6363.0,83056.0,0.07661096127913697,4.444444444444445,505.0,41.142857142857146,5042.714285714285,73002.28571428571,0.06907611503358016,3.26530612244898,400.21541950113374,39.142857142857146,4559.857142857143,72220.64285714286,0.06313786422362423,3.1065759637188215,361.8934240362812,12600000
2020-10-30,36.0,6943.0,95111.0,0.07299891705480964,2.857142857142857,551.031746031746,41.857142857142854,5481.142857142857,74838.71428571429,0.07323940435717953,3.3219954648526073,435.01133786848067,39.0,4730.5,72745.78571428571,0.06502782193568406,3.0952380952380953,375.43650793650795,12600000
2020-10-31,46.0,7899.0,92636.0,0.08526922578695108,3.6507936507936507,626.9047619047619,39.42857142857143,5729.428571428572,76141.42857142857,0.07524719037880637,3.1292517006802725,454.71655328798187,40.357142857142854,5035.5,73827.71428571429,0.06820609372399834,3.2029478458049883,399.64285714285717,12600000
2020-11-01,33.0,6980.0,78458.0,0.08896479645160468,2.619047619047619,553.968253968254,40.714285714285715,6146.285714285715,77050.14285714286,0.0797699457310731,3.231292517006803,487.8004535147393,41.142857142857146,5230.857142857143,73767.85714285714,0.07090970709271363,3.26530612244898,415.14739229024946,12600000
2020-11-02,20.0,6222.0,68118.0,0.09134149563991896,1.5873015873015872,493.8095238095238,41.142857142857146,6359.571428571428,78600.71428571429,0.0809098426949955,3.26530612244898,504.7278911564626,41.0,5452.928571428572,75156.0,0.07255480030108802,3.253968253968254,432.7721088435374,12600000
2020-11-03,68.0,6516.0,82435.0,0.07904409534784983,5.396825396825397,517.1428571428571,44.285714285714285,6719.0,81509.42857142857,0.08243218137778978,3.514739229024943,533.2539682539683,43.0,5653.071428571428,76824.42857142857,0.07358429517396811,3.4126984126984126,448.656462585034,12600000
2020-11-04,55.0,7538.0,71857.0,0.10490279304730228,4.365079365079365,598.2539682539683,44.857142857142854,6923.0,81667.28571428571,0.08477078599404203,3.5600907029478455,549.4444444444445,42.142857142857146,5881.357142857143,77186.28571428571,0.07619691877165448,3.3446712018140596,466.7743764172336,12600000
2020-11-05,97.0,17608.0,86015.0,0.2047084810788816,7.698412698412699,1397.4603174603174,50.714285714285715,8529.42857142857,82090.0,0.10390338130623182,4.024943310657597,676.938775510204,45.92857142857143,6786.071428571428,77546.14285714286,0.08751010918844633,3.6451247165532883,538.5770975056689,12600000
2020-11-06,48.0,10376.0,98401.0,0.10544608286501153,3.8095238095238093,823.4920634920635,52.42857142857143,9019.857142857143,82560.0,0.10925214562569215,4.1609977324263046,715.8616780045352,47.142857142857146,7250.5,78699.35714285714,0.09212908800307862,3.7414965986394564,575.436507936508,12600000
2020-11-07,76.0,12438.0,98418.0,0.12637932085594097,6.031746031746032,987.1428571428571,56.714285714285715,9668.285714285714,83386.0,0.11594615060424668,4.501133786848072,767.3242630385487,48.07142857142857,7698.857142857143,79763.71428571429,0.09652079534912043,3.815192743764172,611.0204081632653,12600000
2020-11-08,42.0,10009.0,90757.0,0.11028350430269841,3.3333333333333335,794.3650793650794,58.0,10101.0,85143.0,0.11863570698706881,4.603174603174603,801.6666666666666,49.357142857142854,8123.642857142857,81096.57142857143,0.10017245752859025,3.9172335600907022,644.7335600907029,12600000
2020-11-09,14.0,10573.0,64760.0,0.16326436071649167,1.1111111111111112,839.1269841269841,57.142857142857146,10722.57142857143,84663.28571428571,0.1266496018682411,4.53514739229025,850.997732426304,49.142857142857146,8541.07142857143,81632.0,0.10462896203169626,3.900226757369615,677.8628117913833,12600000
2020-11-10,79.0,12623.0,101955.0,0.12380952380952381,6.26984126984127,1001.8253968253969,58.714285714285715,11595.0,87451.85714285714,0.13258723575256917,4.659863945578231,920.2380952380952,51.5,9157.0,84480.64285714286,0.1083916941243514,4.087301587301587,726.7460317460317,12600000
2020-11-11,145.0,12657.0,93464.0,0.13542112471111872,11.507936507936508,1004.5238095238095,71.57142857142857,12326.285714285714,90538.57142857143,0.13614402701295422,5.680272108843537,978.2766439909296,58.214285714285715,9624.642857142857,86102.92857142857,0.11178066782198383,4.620181405895692,763.860544217687,12600000
2020-11-12,43.0,12702.0,100617.0,0.12624109245952472,3.4126984126984126,1008.0952380952381,63.857142857142854,11625.42857142857,92624.57142857143,0.12551128056115932,5.068027210884353,922.6530612244896,57.285714285714285,10077.42857142857,87357.28571428571,0.11535876474445667,4.546485260770975,799.7959183673468,12600000
2020-11-13,27.0,15415.0,106540.0,0.1446874413365872,2.142857142857143,1223.4126984126983,60.857142857142854,12345.285714285714,93787.28571428571,0.1316306962107261,4.829931972789115,979.7845804988661,56.642857142857146,10682.57142857143,88173.64285714286,0.1211537947442992,4.49546485260771,847.8231292517008,12600000
2020-11-14,166.0,11028.0,114370.0,0.09642388738305499,13.174603174603174,875.2380952380952,73.71428571428571,12143.857142857143,96066.14285714286,0.12641141594407426,5.850340136054421,963.7981859410431,65.21428571428571,10906.07142857143,89726.07142857143,0.12154852268611209,5.175736961451247,865.561224489796,12600000
2020-11-15,72.0,10631.0,84831.0,0.1253197533920383,5.714285714285714,843.7301587301587,78.0,12232.714285714286,95219.57142857143,0.128468487120745,6.190476190476191,970.8503401360545,68.0,11166.857142857143,90181.28571428571,0.12382676798638934,5.396825396825397,886.2585034013606,12600000
2020-11-16,36.0,11632.0,90612.0,0.12837151812122014,2.857142857142857,923.1746031746031,81.14285714285714,12384.0,98912.71428571429,0.12520129580337064,6.439909297052154,982.8571428571429,69.14285714285714,11553.285714285714,91788.0,0.12586923905396907,5.487528344671201,916.9274376417233,12600000
2020-11-17,96.0,12601.0,94205.0,0.133761477628576,7.619047619047619,1000.0793650793651,83.57142857142857,12380.857142857143,97805.57142857143,0.1265864199965237,6.63265306122449,982.607709750567,71.14285714285714,11987.92857142857,92628.71428571429,0.12941914031594645,5.64625850340136,951.422902494331,12600000
2020-11-18,136.0,8922.0,103569.0,0.0861454682385656,10.793650793650794,708.0952380952381,82.28571428571429,11847.285714285714,99249.14285714286,0.11936914892392017,6.53061224489796,940.2607709750566,76.92857142857143,12086.785714285714,94893.85714285714,0.1273716347738902,6.105442176870748,959.2687074829931,12600000
2020-11-19,168.0,14612.0,113447.0,0.12880023270778426,13.333333333333334,1159.6825396825398,100.14285714285714,12120.142857142857,101082.0,0.11990406657112895,7.9478458049886616,961.9160997732425,82.0,11872.785714285714,96853.28571428571,0.12258526519492664,6.507936507936508,942.2845804988661,12600000
2020-11-20,125.0,13012.0,116024.0,0.11214921050817073,9.920634920634921,1032.6984126984128,114.14285714285714,11776.857142857143,102436.85714285714,0.1149669901179542,9.058956916099772,934.671201814059,87.5,12061.07142857143,98112.07142857143,0.12293157460600815,6.944444444444445,957.2278911564628,12600000
2020-11-21,127.0,11891.0,120284.0,0.09885770343520335,10.079365079365079,943.7301587301587,108.57142857142857,11900.142857142857,103281.71428571429,0.11522022982909434,8.616780045351474,944.4557823129252,91.14285714285714,12022.0,99673.92857142857,0.12061328546295601,7.233560090702947,954.1269841269841,12600000
2020-11-22,75.0,10012.0,92437.0,0.10831160682410723,5.9523809523809526,794.6031746031746,109.0,11811.714285714286,104368.28571428571,0.11317340516686789,8.65079365079365,937.4376417233561,93.5,12022.214285714286,99793.92857142857,0.12047039792715705,7.420634920634921,954.1439909297053,12600000
2020-11-23,47.0,8322.0,91562.0,0.09088923352482471,3.7301587301587302,660.4761904761905,110.57142857142857,11338.857142857143,104504.0,0.10850165680602793,8.775510204081632,899.9092970521542,95.85714285714286,11861.42857142857,101708.35714285714,0.11662196602751423,7.607709750566894,941.3832199546484,12600000
2020-11-24,125.0,9469.0,97323.0,0.09729457579400552,9.920634920634921,751.5079365079365,114.71428571428571,10891.42857142857,104949.42857142857,0.10377787396923144,9.104308390022675,864.3990929705215,99.14285714285714,11636.142857142857,101377.5,0.11478032953212357,7.8684807256235825,923.5034013605442,12600000
2020-11-25,155.0,11378.0,114233.0,0.09960344208766293,12.301587301587302,903.015873015873,117.42857142857143,11242.285714285714,106472.85714285714,0.10558827870282164,9.319727891156463,892.2448979591836,99.85714285714286,11544.785714285714,102861.0,0.11223676334359683,7.925170068027212,916.2528344671201,12600000
2020-11-26,131.0,12022.0,107556.0,0.11177433151102681,10.396825396825397,954.1269841269841,112.14285714285714,10872.285714285714,105631.28571428571,0.10292675735949441,8.900226757369614,862.8798185941042,106.14285714285714,11496.214285714286,103356.64285714286,0.11122859613004349,8.424036281179138,912.3979591836736,12600000
2020-11-27,66.0,7574.0,77130.0,0.09819784778944639,5.238095238095238,601.1111111111111,103.71428571428571,10095.42857142857,100075.0,0.10087862674422754,8.231292517006802,801.2244897959182,108.92857142857143,10936.142857142857,101255.92857142857,0.10800496337780575,8.645124716553289,867.9478458049887,12600000
2020-11-28,107.0,7873.0,79055.0,0.09958889380810827,8.492063492063492,624.8412698412699,100.85714285714286,9521.42857142857,94185.14285714286,0.10109268067757123,8.004535147392291,755.6689342403627,104.71428571428571,10710.785714285714,98733.42857142857,0.10848185735327737,8.31065759637188,850.0623582766439,12600000
2020-11-29,57.0,7178.0,62740.0,0.11440867070449474,4.523809523809524,569.6825396825396,98.28571428571429,9116.57142857143,89942.71428571429,0.10135975438334559,7.80045351473923,723.5374149659865,103.64285714285714,10464.142857142857,97155.5,0.10770510014505465,8.225623582766438,830.4875283446712,12600000
2020-11-30,85.0,6190.0,66980.0,0.09241564646163034,6.746031746031746,491.26984126984127,103.71428571428571,8812.0,86431.0,0.10195415996575302,8.231292517006802,699.3650793650794,107.14285714285714,10075.42857142857,95467.5,0.10553778585831378,8.503401360544217,799.6371882086166,12600000
2020-12-01,123.0,12542.0,116081.0,0.10804524426908796,9.761904761904763,995.3968253968254,103.42857142857143,9251.0,89110.71428571429,0.10381467676646226,8.208616780045352,734.2063492063492,109.07142857142857,10071.214285714286,97030.07142857143,0.10379477349069251,8.656462585034014,799.3027210884354,12600000
2020-12-02,238.0,9757.0,85507.0,0.11410761692025215,18.88888888888889,774.3650793650794,115.28571428571429,9019.42857142857,85007.0,0.10610218654262085,9.14965986394558,715.8276643990929,116.35714285714286,10130.857142857143,95739.92857142857,0.10581642679312037,9.23469387755102,804.0362811791383,12600000
2020-12-03,187.0,10959.0,106778.0,0.10263350128303583,14.841269841269842,869.7619047619048,123.28571428571429,8867.57142857143,84895.85714285714,0.10445234581529303,9.784580498866214,703.7755102040818,117.71428571428571,9869.92857142857,95263.57142857143,0.10360653525182012,9.342403628117912,783.3276643990929,12600000
2020-12-04,145.0,10526.0,112634.0,0.09345313138128807,11.507936507936508,835.3968253968254,134.57142857142858,9289.285714285714,89967.85714285714,0.10325116112897463,10.680272108843539,737.2448979591836,119.14285714285714,9692.357142857143,95021.42857142857,0.10200180410433737,9.45578231292517,769.2346938775511,12600000
2020-12-05,208.0,9887.0,102678.0,0.09629131849081594,16.50793650793651,784.6825396825396,149.0,9577.0,93342.57142857143,0.10260055892426974,11.825396825396826,760.0793650793651,124.92857142857143,9549.214285714286,93763.85714285714,0.10184323231461408,9.914965986394558,757.8741496598641,12600000
2020-12-06,74.0,7598.0,79538.0,0.09552666649903191,5.873015873015873,603.015873015873,151.42857142857142,9637.0,95742.28571428571,0.100655629099547,12.018140589569159,764.8412698412699,124.85714285714286,9376.785714285714,92842.5,0.10099669563277286,9.909297052154196,744.1893424036281,12600000
2020-12-07,89.0,8691.0,77569.0,0.11204218179943018,7.063492063492063,689.7619047619048,152.0,9994.285714285714,97255.0,0.10276372129233165,12.063492063492063,793.1972789115646,127.85714285714286,9403.142857142857,91843.0,0.10238279299612227,10.147392290249433,746.2811791383219,12600000
2020-12-08,145.0,7910.0,95825.0,0.08254630837464128,11.507936507936508,627.7777777777778,155.14285714285714,9332.57142857143,94361.28571428571,0.09890254629244137,12.312925170068027,740.6802721088437,129.28571428571428,9291.785714285714,91736.0,0.10128832425967683,10.260770975056689,737.4433106575963,12600000
2020-12-09,178.0,8256.0,92737.0,0.08902595512039424,14.126984126984127,655.2380952380952,146.57142857142858,9118.142857142857,95394.14285714286,0.0955838858031116,11.632653061224492,723.6621315192743,130.92857142857142,9068.785714285714,90200.57142857143,0.10054022464222588,10.391156462585034,719.7448979591836,12600000
2020-12-10,195.0,11101.0,114503.0,0.09694942490589767,15.476190476190476,881.031746031746,147.71428571428572,9138.42857142857,96497.71428571429,0.09470098477536107,11.723356009070296,725.2721088435372,135.5,9003.0,90696.78571428571,0.09926481880362747,10.753968253968255,714.5238095238095,12600000
2020-12-11,189.0,9420.0,104448.0,0.09018841911764706,15.0,747.6190476190476,154.0,8980.42857142857,95328.28571428571,0.09420528759264976,12.222222222222221,712.7324263038547,144.28571428571428,9134.857142857143,92648.07142857143,0.09859738040958373,11.451247165532878,724.9886621315193,12600000
2020-12-12,127.0,8737.0,126888.0,0.06885599899123637,10.079365079365079,693.4126984126984,142.42857142857142,8816.142857142857,98786.85714285714,0.08924408683630558,11.303854875283445,699.6938775510204,145.71428571428572,9196.57142857143,96064.71428571429,0.09573308469142082,11.564625850340137,729.8866213151929,12600000
2020-12-13,115.0,7216.0,63648.0,0.11337355455002514,9.126984126984127,572.6984126984127,148.28571428571428,8761.57142857143,96516.85714285714,0.09077762877839253,11.768707482993197,695.3628117913834,149.85714285714286,9199.285714285714,96129.57142857143,0.09569673075179778,11.89342403628118,730.1020408163264,12600000
2020-12-14,101.0,7214.0,92256.0,0.07819545612209504,8.015873015873016,572.5396825396825,150.0,8550.57142857143,98615.0,0.08670660070548526,11.904761904761905,678.6167800453516,151.0,9272.42857142857,97935.0,0.0946794156474046,11.984126984126984,735.907029478458,12600000
2020-12-15,117.0,7359.0,92922.0,0.07919545425195325,9.285714285714286,584.047619047619,146.0,8471.857142857143,98200.28571428571,0.08627120665927653,11.587301587301587,672.3696145124717,150.57142857142858,8902.214285714286,96280.78571428571,0.09246096424816998,11.95011337868481,706.5249433106577,12600000
2020-12-16,145.0,7123.0,93278.0,0.07636312956967345,11.507936507936508,565.3174603174604,141.28571428571428,8310.0,98277.57142857143,0.08455642400605863,11.213151927437641,659.5238095238095,143.92857142857142,8714.07142857143,96835.85714285714,0.08998806522377337,11.422902494331064,691.592970521542,12600000
2020-12-17,180.0,8828.0,92015.0,0.09594087920447752,14.285714285714286,700.6349206349206,139.14285714285714,7985.285714285715,95065.0,0.08399816666791894,11.043083900226756,633.7528344671202,143.42857142857142,8561.857142857143,95781.35714285714,0.08938959937774947,11.383219954648524,679.5124716553288,12600000
2020-12-18,181.0,7377.0,112292.0,0.06569479571118156,14.365079365079366,585.4761904761905,138.0,7693.428571428572,96185.57142857143,0.07998526657547389,10.952380952380953,610.5895691609977,146.0,8336.92857142857,95756.92857142857,0.08706345008977344,11.587301587301587,661.6609977324263,12600000
2020-12-19,108.0,7562.0,96851.0,0.07807869820652343,8.571428571428571,600.1587301587301,135.28571428571428,7525.571428571428,91894.57142857143,0.08189353638175424,10.736961451247165,597.2675736961451,138.85714285714286,8170.857142857143,95340.71428571429,0.08570165646515879,11.020408163265307,648.4807256235828,12600000
2020-12-20,78.0,6003.0,78079.0,0.07688366910436865,6.190476190476191,476.42857142857144,130.0,7352.285714285715,93956.14285714286,0.07825231528996052,10.317460317460318,583.514739229025,139.14285714285714,8056.928571428572,95236.5,0.08459916703604786,11.043083900226756,639.4387755102041,12600000
2020-12-21,97.0,4699.0,86454.0,0.0543526036967636,7.698412698412699,372.93650793650795,129.42857142857142,6993.0,93127.28571428571,0.07509077437792515,10.272108843537413,555.0,139.71428571428572,7771.785714285715,95871.14285714286,0.0810649115330399,11.088435374149661,616.8083900226758,12600000
2020-12-22,114.0,6239.0,84764.0,0.07360436034165448,9.047619047619047,495.1587301587302,129.0,6833.0,91961.85714285714,0.07430254468855876,10.238095238095237,542.3015873015873,137.5,7652.428571428572,95081.07142857143,0.0804831966705105,10.912698412698413,607.3356009070295,12600000
2020-12-23,135.0,6762.0,82328.0,0.0821348751336119,10.714285714285714,536.6666666666666,127.57142857142857,6781.428571428572,90397.57142857143,0.07501781811458272,10.124716553287982,538.2086167800454,134.42857142857142,7545.714285714285,94337.57142857143,0.0799863105594953,10.668934240362809,598.8662131519274,12600000
2020-12-24,96.0,7037.0,94909.0,0.07414470703515999,7.619047619047619,558.4920634920635,115.57142857142857,6525.571428571428,90811.0,0.07185882138255749,9.17233560090703,517.9024943310658,127.35714285714286,7255.428571428572,92938.0,0.07806740592038318,10.107709750566894,575.827664399093,12600000
2020-12-25,156.0,5742.0,98958.0,0.05802461650397138,12.380952380952381,455.7142857142857,112.0,6292.0,88906.14285714286,0.07077126279238298,8.88888888888889,499.36507936507934,125.0,6992.714285714285,92545.85714285714,0.07555945237959251,9.920634920634921,554.9773242630384,12600000
2020-12-26,66.0,3293.0,57448.0,0.05732140370421947,5.238095238095238,261.3492063492063,106.0,5682.142857142857,83277.14285714286,0.06823172196109377,8.412698412698413,450.96371882086163,120.64285714285714,6603.857142857143,87585.85714285714,0.07539867003968351,9.574829931972788,524.1156462585035,12600000
2020-12-27,104.0,3767.0,46226.0,0.08149093583697486,8.253968253968255,298.968253968254,109.71428571428571,5362.714285714285,78726.71428571429,0.06811810113466657,8.707482993197278,425.6122448979591,119.85714285714286,6357.5,86341.42857142857,0.07363209186121544,9.512471655328799,504.56349206349205,12600000
2020-12-28,104.0,4453.0,51046.0,0.08723504290248012,8.253968253968255,353.41269841269843,110.71428571428571,5327.571428571428,73668.42857142857,0.07231824448930439,8.786848072562357,422.82312925170066,120.07142857142857,6160.285714285715,83397.85714285714,0.07386623500089931,9.529478458049887,488.9115646258504,12600000
2020-12-29,106.0,5644.0,66786.0,0.08450872937441979,8.412698412698413,447.93650793650795,109.57142857142857,5242.571428571428,71100.14285714286,0.07373503368488309,8.696145124716553,416.0770975056689,119.28571428571429,6037.785714285715,81531.0,0.07405509210344181,9.467120181405896,479.1893424036282,12600000
2020-12-30,178.0,7374.0,74573.0,0.09888297373043863,14.126984126984127,585.2380952380952,115.71428571428571,5330.0,69992.28571428571,0.07615124932135378,9.183673469387754,423.015873015873,121.64285714285714,6055.714285714285,80194.92857142857,0.0755124344343114,9.654195011337867,480.6122448979591,12600000
