,city,population,Age 0-2,Age 3-4,Age 5,Age 6-12,first,full,fullpct,ineligible,eligible,eligiblefullpct
92,Winnetka,19409,631,631,279,2593.666667,14381.0,13311.0,0.6858158586222887,4134.6666669999995,15274.333333,0.8714619296176911
21,Evergreen Park,19479,738,494,218,1923.333333,12340.0,11419.0,0.5862210585759022,3373.333333,16105.666667,0.7090051120576815
38,Homewood,19691,539,401,349,1812.666667,12529.0,11693.0,0.593824589914174,3101.666667,16589.333333,0.7048505063636242
48,Matteson,21554,704,323,188,1819.333333,11550.0,10531.0,0.48858680523336734,3034.333333,18519.666667,0.5686387443876124
75,Rolling Meadows,21663,860,675,251,1857.666667,15117.0,14247.0,0.6576651433319485,3643.666667,18019.333333,0.7906507825075041
65,Park Forest,21909,541,334,314,2221.0,10730.0,9564.0,0.43653293167191565,3410.0,18499.0,0.5170009189685929
79,South Holland,22088,667,381,217,2470.333333,11596.0,10449.0,0.4730622962694676,3735.333333,18352.666667,0.569345054296027
0,Alsip,22405,697,540,306,2240.666667,12017.0,11001.0,0.49100647176969425,3783.666667,18621.333333,0.5907740226369536
17,Dolton,22436,814,455,304,2421.666667,9542.0,8450.0,0.37662684970582994,3994.666667,18441.333333,0.45820981853188875
52,Morton Grove,23089,568,392,165,1747.0,17838.0,16857.0,0.7300879206548573,2872.0,20217.0,0.8338032349013207
31,Harwood Heights,23114,700,472,203,1529.333333,13276.0,12398.0,0.5363848749675522,2904.333333,20209.666667,0.6134688020483025
44,Lemont,23435,708,314,283,2196.666667,14089.0,13286.0,0.5669298058459569,3501.666667,19933.333333,0.6665217391415806
49,Maywood,23578,890,468,259,1803.0,11889.0,10555.0,0.44766307574857916,3420.0,20158.0,0.5236134537156464
5,Blue Island,25338,950,663,222,3081.666667,12860.0,11290.0,0.44557581498145077,4916.6666669999995,20421.333333000002,0.5528532253942421
51,Midlothian,25810,794,496,307,1743.333333,7887.0,7201.0,0.27900038744672606,3340.333333,22469.666667,0.3204764942319204
91,Wilmette,27165,867,758,267,3307.666667,20654.0,19541.0,0.719344745076385,5199.6666669999995,21965.333333000002,0.8896291125544741
56,Oak Forest,28008,459,440,227,2727.333333,15834.0,14752.0,0.5267066552413596,3853.333333,24154.666667,0.6107308456528658
72,Riverdale,28483,1534,1044,555,2988.333333,9314.0,8066.0,0.2831864621002001,6121.3333330000005,22361.666666999998,0.3607065662911127
43,Lansing,28633,723,749,311,2603.666667,13125.0,11813.0,0.4125659204414487,4386.6666669999995,24246.333333000002,0.48720768776704665
30,Harvey,28683,969,768,315,3000.0,10852.0,9230.0,0.3217933967855524,5052.0,23631.0,0.39058863357454193
9,Burbank,28709,1019,811,281,2638.333333,15750.0,14526.0,0.5059737364589502,4749.3333330000005,23959.666666999998,0.606268868506709
54,Niles,29520,848,658,137,1689.333333,20230.0,18893.0,0.6400067750677507,3332.333333,26187.666667,0.7214464824316605
41,La Grange,30474,934,766,245,3227.0,21832.0,20643.0,0.6773971254183895,5172.0,25302.0,0.8158643585487313
10,Calumet City,36658,971,886,373,3504.666667,15177.0,13441.0,0.3666593922199793,5734.6666669999995,30923.333333000002,0.4346555998753331
8,Brookfield,37168,1348,1121,550,4221.6666669999995,25390.0,23820.0,0.6408738699956952,7240.6666669999995,29927.333333000002,0.7959279142901241
66,Park Ridge,37433,1223,1051,380,3524.333333,27100.0,25784.0,0.6888039964736997,6178.3333330000005,31254.666666999998,0.8249648052469503
29,Hanover Park,38113,1281,844,494,4387.0,23801.0,21423.0,0.5620916747566447,7006.0,31107.0,0.6886874336965956
89,Wheeling,38553,1429,962,436,3077.0,25467.0,23787.0,0.6169947863979457,5904.0,32649.0,0.728567490581641
55,Northbrook,40686,1231,844,518,3453.333333,32236.0,30217.0,0.742687902472595,6046.3333330000005,34639.666667,0.8723236366701728
84,Techny,41014,1319,1071,670,3757.666667,30690.0,29113.0,0.7098307894865168,6817.6666669999995,34196.333333,0.851348585139258
19,Elmwood Park,43093,1408,923,305,3849.333333,25856.0,23798.0,0.552247464785464,6485.3333330000005,36607.666667,0.6500824053190126
50,Melrose Park,46894,1895,1423,822,5131.0,29070.0,26250.0,0.5597731053013179,9271.0,37623.0,0.697711506259469
36,Hoffman Estates,48840,1888,1275,435,4339.3333330000005,34022.0,31964.0,0.6544635544635544,7937.3333330000005,40902.666667,0.7814649411547621
58,Oak Park,52233,1695,1470,698,5141.0,39370.0,36832.0,0.7051480864587522,9004.0,43229.0,0.8520206342964214
53,Mount Prospect,54524,2304,1721,525,5037.0,36930.0,34921.0,0.6404702516323088,9587.0,44937.0,0.7771101764692793
26,Glenview,54956,1825,1276,910,5173.0,39812.0,37522.0,0.6827643933328481,9184.0,45772.0,0.819758804509307
57,Oak Lawn,55966,1882,1532,713,4886.666667,33671.0,31188.0,0.5572669120537469,9013.666667000001,46952.333333,0.6642481381874117
12,Chicago Heights,57603,2274,1970,707,5725.333333,24101.0,21375.0,0.37107442320712464,10676.333332999999,46926.666667,0.45549794004506683
78,Skokie,59414,2075,1486,650,4481.6666669999995,45204.0,42014.0,0.7071397313764433,8692.666667,50721.333333,0.8283299597856807
4,Berwyn,62960,2759,1607,881,6697.666667,38689.0,35237.0,0.5596728081321474,11944.666667000001,51015.333333,0.6907139030140658
86,Tinley Park,64278,2496,1699,777,5666.6666669999995,39694.0,37295.0,0.5802140701328604,10638.666667,53639.333333,0.6952920120850078
60,Orland Park,66645,1915,1207,510,5397.3333330000005,42619.0,40079.0,0.6013804486458099,9029.333333,57615.666667,0.6956267681782408
76,Schaumburg,76801,3160,2132,852,6505.0000003000005,53059.0,49873.0,0.6493795653702426,12649.0000003,64151.9999997,0.7774192542747417
20,Evanston,78984,2760,1661,825,6383.9999997,59549.0,55013.0,0.6965081535500861,11629.999999700001,67354.0000003,0.8167740594434624
1,Arlington Heights,80718,2806,1603,1159,7091.0,57224.0,54319.0,0.672947793552863,12659.0,68059.0,0.7981163402342085
14,Cicero,82383,2583,2515,1326,9897.666667,50549.0,44287.0,0.5375744995933627,16321.666667,66061.333333,0.6703921608236305
16,Des Plaines,89328,3645,1896,668,6491.666666,60388.0,56504.0,0.6325452265806913,12700.666666000001,76627.333334,0.7373870072407811
18,Elk Grove Village,107145,3021,2092,1197,10222.0,74020.0,69948.0,0.652834943301134,16532.0,90613.0,0.7719422157968503
61,Palatine,118812,4694,3253,1921,10768.000001,80066.0,75566.0,0.6360131973201361,20636.000001,98175.99999899999,0.7696993155228335
82,Streamwood,139494,5518,4002,1758,13933.666667000001,87630.0,81157.0,0.5817956327870732,25211.666667,114282.333333,0.7101447584511754
11,Chicago,2692662,101818,68005,29414,213771.333336,1626414.0,1484180.0,0.5511943199703491,413008.333336,2279653.666664,0.6510550359923398
