,2021-08-31,2021-09-07,diff,change_pct
positivity_7day,12.308592226331916,23.067694962427826,10.75910273609591,87.41131835595979
deathIncrease_7day,1111.5714285714287,787.1428571428571,-324.42857142857156,-29.186479886904007
hospitalized_7day,102351.14285714286,101260.85714285714,-1090.2857142857101,-1.0652403909231205
positiveIncrease_7day,186494.2857142857,124628.85714285714,-61865.428571428565,-33.17282796868536
totalTestResultsIncrease_7day,1515155.2857142857,540274.4285714285,-974880.8571428572,-64.34197645182432
