,zip,date,count,tested,7daypos100k,percentage,count_14day,tested_14day,percentage_14day,7daypos100k_14day,Unknown tested,Unknown count,Unknown percentage,<20 tested,<20 count,<20 percentage,20-29 tested,20-29 count,20-29 percentage,30-39 tested,30-39 count,30-39 percentage,40-49 tested,40-49 count,40-49 percentage,50-59 tested,50-59 count,50-59 percentage,60-69 tested,60-69 count,60-69 percentage,70-79 tested,70-79 count,70-79 percentage,80+ tested,80+ count,80+ percentage,Unknown tested_14day,Unknown count_14day,Unknown percentage_14day,<20 tested_14day,<20 count_14day,<20 percentage_14day,20-29 tested_14day,20-29 count_14day,20-29 percentage_14day,30-39 tested_14day,30-39 count_14day,30-39 percentage_14day,40-49 tested_14day,40-49 count_14day,40-49 percentage_14day,50-59 tested_14day,50-59 count_14day,50-59 percentage_14day,60-69 tested_14day,60-69 count_14day,60-69 percentage_14day,70-79 tested_14day,70-79 count_14day,70-79 percentage_14day,80+ tested_14day,80+ count_14day,80+ percentage_14day,population
15064,60304,2020-05-22,69.0,763.0,,0,,,0,,0.0,0.0,0,50.0,0.0,0,88.0,8.0,0,137.0,13.0,0,124.0,13.0,0,169.0,15.0,0,114.0,12.0,0,61.0,7.0,0,20.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
15576,60301,2020-05-23,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
15577,60302,2020-05-23,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
15578,60304,2020-05-23,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
16090,60301,2020-05-24,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
16091,60302,2020-05-24,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
16092,60304,2020-05-24,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
16604,60301,2020-05-25,22.0,178.0,,0,,,0,,0.0,0.0,0,13.0,0.0,0,26.0,0.0,0,39.0,8.0,0,28.0,0.0,0,29.0,6.0,0,20.0,0.0,0,14.0,0.0,0,9.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
16605,60302,2020-05-25,196.0,1923.0,,0,,,0,,0.0,0.0,0,108.0,6.0,0,201.0,21.0,0,276.0,26.0,0,290.0,38.0,0,277.0,34.0,0,258.0,24.0,0,235.0,20.0,0,278.0,27.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
16606,60304,2020-05-25,69.0,819.0,,0,,,0,,0.0,0.0,0,54.0,0.0,0,93.0,8.0,0,148.0,13.0,0,131.0,14.0,0,181.0,15.0,0,128.0,11.0,0,63.0,7.0,0,21.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
17125,60301,2020-05-26,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
17126,60302,2020-05-26,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
17127,60304,2020-05-26,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
17646,60301,2020-05-27,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
17647,60302,2020-05-27,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
17648,60304,2020-05-27,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
18167,60301,2020-05-28,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
18168,60302,2020-05-28,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
18169,60304,2020-05-28,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
18688,60301,2020-05-29,22.0,195.0,,0,,,0,,0.0,0.0,0,15.0,0.0,0,28.0,0.0,0,45.0,8.0,0,28.0,0.0,0,31.0,6.0,0,21.0,0.0,0,17.0,0.0,0,10.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
18689,60302,2020-05-29,202.0,2084.0,,0,,,0,,0.0,0.0,0,114.0,6.0,0,223.0,24.0,0,294.0,26.0,0,310.0,38.0,0,301.0,35.0,0,290.0,26.0,0,263.0,20.0,0,289.0,27.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
18690,60304,2020-05-29,70.0,871.0,,0,,,0,,0.0,0.0,0,64.0,0.0,0,97.0,8.0,0,151.0,13.0,0,141.0,14.0,0,191.0,15.0,0,136.0,12.0,0,69.0,7.0,0,22.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
19212,60301,2020-05-30,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
19213,60302,2020-05-30,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
19214,60304,2020-05-30,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
19736,60301,2020-05-31,23.0,200.0,,0,,,0,,0.0,0.0,0,15.0,0.0,0,28.0,0.0,0,46.0,8.0,0,28.0,0.0,0,33.0,7.0,0,22.0,0.0,0,18.0,0.0,0,10.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
19737,60302,2020-05-31,203.0,2165.0,,0,,,0,,0.0,0.0,0,118.0,6.0,0,228.0,24.0,0,305.0,26.0,0,320.0,38.0,0,317.0,35.0,0,305.0,26.0,0,276.0,21.0,0,296.0,27.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
19738,60304,2020-05-31,72.0,904.0,,0,,,0,,0.0,0.0,0,65.0,0.0,0,103.0,10.0,0,154.0,13.0,0,143.0,14.0,0,201.0,15.0,0,141.0,12.0,0,71.0,7.0,0,26.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
20264,60301,2020-06-01,23.0,203.0,,0,,,0,,0.0,0.0,0,15.0,0.0,0,29.0,0.0,0,46.0,8.0,0,29.0,0.0,0,33.0,7.0,0,22.0,0.0,0,19.0,0.0,0,10.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
20265,60302,2020-06-01,203.0,2210.0,,0,,,0,,0.0,0.0,0,121.0,6.0,0,230.0,24.0,0,310.0,26.0,0,328.0,38.0,0,325.0,35.0,0,317.0,26.0,0,281.0,21.0,0,298.0,27.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
20266,60304,2020-06-01,72.0,926.0,,0,,,0,,0.0,0.0,0,67.0,0.0,0,104.0,10.0,0,157.0,13.0,0,149.0,14.0,0,205.0,15.0,0,147.0,12.0,0,71.0,7.0,0,26.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
20792,60301,2020-06-02,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
20793,60302,2020-06-02,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
20794,60304,2020-06-02,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
21320,60301,2020-06-03,25.0,214.0,,0,,,0,,0.0,0.0,0,15.0,0.0,0,32.0,0.0,0,49.0,8.0,0,30.0,0.0,0,33.0,7.0,0,25.0,0.0,0,20.0,0.0,0,10.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
21321,60302,2020-06-03,204.0,2303.0,,0,,,0,,0.0,0.0,0,123.0,6.0,0,237.0,24.0,0,322.0,26.0,0,345.0,38.0,0,341.0,35.0,0,335.0,26.0,0,294.0,21.0,0,306.0,28.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
21322,60304,2020-06-03,73.0,962.0,,0,,,0,,0.0,0.0,0,71.0,0.0,0,106.0,11.0,0,161.0,13.0,0,158.0,14.0,0,208.0,15.0,0,154.0,12.0,0,76.0,7.0,0,28.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
21853,60301,2020-06-04,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
21854,60302,2020-06-04,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
21855,60304,2020-06-04,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
22386,60301,2020-06-05,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
22387,60302,2020-06-05,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
22388,60304,2020-06-05,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
22919,60301,2020-06-06,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
22920,60302,2020-06-06,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
22921,60304,2020-06-06,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
23452,60301,2020-06-07,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
23453,60302,2020-06-07,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
23454,60304,2020-06-07,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
23985,60301,2020-06-08,25.0,227.0,,0,,,0,,0.0,0.0,0,15.0,0.0,0,34.0,0.0,0,50.0,8.0,0,31.0,0.0,0,35.0,7.0,0,26.0,0.0,0,25.0,0.0,0,11.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
23986,60302,2020-06-08,211.0,2564.0,,0,,,0,,0.0,0.0,0,143.0,7.0,0,270.0,24.0,0,362.0,28.0,0,381.0,39.0,0,390.0,38.0,0,371.0,26.0,0,326.0,21.0,0,321.0,28.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
23987,60304,2020-06-08,73.0,1066.0,,0,,,0,,0.0,0.0,0,80.0,0.0,0,117.0,11.0,0,180.0,13.0,0,172.0,14.0,0,224.0,15.0,0,174.0,12.0,0,88.0,7.0,0,31.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
24524,60301,2020-06-09,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
24525,60302,2020-06-09,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
24526,60304,2020-06-09,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
25063,60301,2020-06-10,25.0,238.0,,0,,,0,,0.0,0.0,0,16.0,0.0,0,37.0,0.0,0,52.0,8.0,0,32.0,0.0,0,36.0,7.0,0,26.0,0.0,0,26.0,0.0,0,13.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
25064,60302,2020-06-10,213.0,2654.0,,0,,,0,,0.0,0.0,0,147.0,7.0,0,283.0,24.0,0,374.0,27.0,0,390.0,39.0,0,412.0,38.0,0,382.0,28.0,0,340.0,21.0,0,326.0,29.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
25065,60304,2020-06-10,75.0,1108.0,,0,,,0,,0.0,0.0,0,81.0,0.0,0,120.0,11.0,0,187.0,14.0,0,180.0,15.0,0,232.0,15.0,0,183.0,12.0,0,94.0,7.0,0,31.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
25602,60301,2020-06-11,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
25603,60302,2020-06-11,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
25604,60304,2020-06-11,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
26141,60301,2020-06-12,25.0,244.0,,0,,,0,,0.0,0.0,0,16.0,0.0,0,37.0,0.0,0,53.0,8.0,0,33.0,0.0,0,39.0,7.0,0,27.0,0.0,0,26.0,0.0,0,13.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
26142,60302,2020-06-12,215.0,2764.0,,0,,,0,,0.0,0.0,0,159.0,8.0,0,300.0,25.0,0,386.0,27.0,0,403.0,39.0,0,430.0,38.0,0,393.0,28.0,0,362.0,21.0,0,331.0,29.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
26143,60304,2020-06-12,75.0,1158.0,,0,,,0,,0.0,0.0,0,88.0,0.0,0,126.0,11.0,0,192.0,14.0,0,189.0,15.0,0,242.0,15.0,0,190.0,12.0,0,97.0,7.0,0,34.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
26685,60301,2020-06-13,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
26686,60302,2020-06-13,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
26687,60304,2020-06-13,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
27229,60301,2020-06-14,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
27230,60302,2020-06-14,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
27231,60304,2020-06-14,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
27773,60301,2020-06-15,27.0,275.0,,0,,,0,,0.0,0.0,0,35.0,0.0,0,38.0,0.0,0,56.0,8.0,0,39.0,0.0,0,40.0,7.0,0,27.0,0.0,0,27.0,0.0,0,13.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
27774,60302,2020-06-15,214.0,2946.0,,0,,,0,,0.0,0.0,0,172.0,8.0,0,336.0,25.0,0,412.0,27.0,0,433.0,39.0,0,451.0,37.0,0,419.0,28.0,0,382.0,21.0,0,341.0,29.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
27775,60304,2020-06-15,80.0,1231.0,,0,,,0,,0.0,0.0,0,99.0,0.0,0,134.0,11.0,0,202.0,15.0,0,209.0,17.0,0,255.0,15.0,0,197.0,13.0,0,99.0,7.0,0,36.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
28323,60301,2020-06-16,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
28324,60302,2020-06-16,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
28325,60304,2020-06-16,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
28873,60301,2020-06-17,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
28874,60302,2020-06-17,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
28875,60304,2020-06-17,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
29423,60301,2020-06-18,27.0,292.0,,0,,,0,,0.0,0.0,0,40.0,0.0,0,39.0,0.0,0,59.0,8.0,0,40.0,0.0,0,42.0,7.0,0,30.0,0.0,0,29.0,0.0,0,13.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
29424,60302,2020-06-18,219.0,3099.0,,0,,,0,,0.0,0.0,0,183.0,8.0,0,362.0,27.0,0,437.0,28.0,0,450.0,39.0,0,475.0,38.0,0,443.0,28.0,0,399.0,22.0,0,350.0,29.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
29425,60304,2020-06-18,79.0,1313.0,,0,,,0,,0.0,0.0,0,106.0,0.0,0,145.0,11.0,0,216.0,15.0,0,230.0,17.0,0,264.0,15.0,0,211.0,13.0,0,103.0,7.0,0,38.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
29979,60301,2020-06-19,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
29980,60302,2020-06-19,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
29981,60304,2020-06-19,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
30535,60301,2020-06-20,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
30536,60302,2020-06-20,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
30537,60304,2020-06-20,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
31091,60301,2020-06-21,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
31092,60302,2020-06-21,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
31093,60304,2020-06-21,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
31647,60301,2020-06-22,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
31648,60302,2020-06-22,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
31649,60304,2020-06-22,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
32203,60301,2020-06-23,28.0,317.0,,0,,,0,,0.0,0.0,0,41.0,0.0,0,46.0,6.0,0,64.0,8.0,0,42.0,0.0,0,46.0,7.0,0,33.0,0.0,0,31.0,0.0,0,14.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
32204,60302,2020-06-23,222.0,3418.0,,0,,,0,,0.0,0.0,0,220.0,8.0,0,407.0,29.0,0,488.0,28.0,0,499.0,40.0,0,527.0,37.0,0,484.0,28.0,0,427.0,23.0,0,366.0,29.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
32205,60304,2020-06-23,80.0,1436.0,,0,,,0,,0.0,0.0,0,120.0,0.0,0,156.0,11.0,0,234.0,15.0,0,257.0,17.0,0,285.0,15.0,0,232.0,13.0,0,112.0,7.0,0,40.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
32770,60301,2020-06-24,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
32771,60302,2020-06-24,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
32772,60304,2020-06-24,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
33337,60301,2020-06-25,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
33338,60302,2020-06-25,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
33339,60304,2020-06-25,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
33904,60301,2020-06-26,29.0,342.0,,0,,,0,,0.0,0.0,0,42.0,0.0,0,55.0,7.0,0,69.0,8.0,0,46.0,0.0,0,49.0,7.0,0,35.0,0.0,0,32.0,0.0,0,14.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
33905,60302,2020-06-26,224.0,3651.0,,0,,,0,,0.0,0.0,0,234.0,8.0,0,440.0,30.0,0,530.0,29.0,0,531.0,40.0,0,570.0,37.0,0,519.0,28.0,0,451.0,24.0,0,376.0,28.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
33906,60304,2020-06-26,82.0,1534.0,,0,,,0,,0.0,0.0,0,127.0,0.0,0,172.0,11.0,0,251.0,16.0,0,273.0,17.0,0,307.0,15.0,0,238.0,13.0,0,119.0,7.0,0,47.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
34478,60301,2020-06-27,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
34479,60302,2020-06-27,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
34480,60304,2020-06-27,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
35052,60301,2020-06-28,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
35053,60302,2020-06-28,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
35054,60304,2020-06-28,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
