,deaths,cases,tests,percentage,percentage_lagged,fit
2020-08-16,,,,,,
2020-08-17,,,,,,
2020-08-18,,,,,,
2020-08-19,985.8571428571429,43107.28571428572,813594.4285714285,0.05298375234694858,,
2020-08-20,980.1428571428571,42449.71428571428,805575.8571428572,0.052694869029803165,,
2020-08-21,970.1428571428571,41991.42857142857,808941.1428571428,0.051909127063455796,,
2020-08-22,964.5714285714286,41529.857142857145,803424.2857142857,0.05169106520838483,,
2020-08-23,948.7142857142857,41423.857142857145,793583.4285714285,0.0521984906078828,,
2020-08-24,948.5714285714286,41462.0,793271.2857142857,0.05226711308813649,,
2020-08-25,934.4285714285714,41413.28571428572,795768.8571428572,0.05204185278496161,,
2020-08-26,931.8571428571429,41119.142857142855,796547.0,0.051621740910634095,,
2020-08-27,917.5714285714286,41242.857142857145,814045.7142857143,0.05066405537070575,,
2020-08-28,923.1428571428571,40839.57142857143,807531.1428571428,0.050573370191118676,,
2020-08-29,905.1428571428571,41611.42857142857,819860.5714285715,0.05075427459442581,,
2020-08-30,867.2857142857143,39657.71428571428,822957.0,0.048189290917647315,,
2020-08-31,859.2857142857143,39733.71428571428,830088.2857142857,0.047866853405266016,,
2020-09-01,856.2857142857143,40517.28571428572,853529.5714285715,0.04747027762198213,,
2020-09-02,843.2857142857143,40640.857142857145,863208.0,0.04708118685514632,,
2020-09-03,839.7142857142857,39821.857142857145,851470.7142857143,0.04676832270885921,,
2020-09-04,817.8571428571429,39307.142857142855,844314.4285714285,0.046555100241091635,,
2020-09-05,722.5714285714286,36459.71428571428,811594.0,0.04492358776150918,,
2020-09-06,730.1428571428571,36470.857142857145,803575.0,0.04538575384109404,,
2020-09-07,742.8571428571429,35437.42857142857,790380.2857142857,0.04483592165941097,,
2020-09-08,745.1428571428571,34451.42857142857,767684.8571428572,0.04487704590090354,,
2020-09-09,729.5714285714286,34021.42857142857,769873.0,0.04419096210859268,,
2020-09-10,721.0,34242.28571428572,772067.7142857143,0.04435140219011138,,
2020-09-11,746.7142857142857,35021.57142857143,801698.4285714285,0.04368422112411703,,
2020-09-12,844.8571428571429,36802.71428571428,837386.1428571428,0.043949514330562295,,
