date,count,tested,percentage,Unknown tested,Unknown count,Unknown percentage,<20 tested,<20 count,<20 percentage,20-39 tested,20-39 count,20-39 percentage,30-39 tested,30-39 count,30-39 percentage,40-49 tested,40-49 count,40-49 percentage,50-59 tested,50-59 count,50-59 percentage,60-69 tested,60-69 count,60-69 percentage,70-79 tested,70-79 count,70-79 percentage,80+ tested,80+ count,80+ percentage
07-22,4.571428571428571,239.07142857142856,0.019121601434120106,0.0,0.0,,37.92857142857143,0.7142857142857143,0.018832391713747645,31.357142857142858,1.2857142857142858,0.04100227790432802,34.0,0.9285714285714285,0.027310924369747896,41.857142857142854,0.5714285714285714,0.013651877133105802,39.35714285714286,0.3571428571428571,0.00907441016333938,26.714285714285715,0.2857142857142857,0.0106951871657754,18.214285714285715,0.07142857142857142,0.00392156862745098,9.571428571428571,0.14285714285714285,0.014925373134328358
07-23,3.357142857142857,162.5,0.02065934065934066,0.0,0.0,,27.214285714285715,0.35714285714285715,0.013123359580052493,21.714285714285715,1.1428571428571428,0.05263157894736842,22.714285714285715,0.7142857142857142,0.03144654088050314,28.0,0.35714285714285715,0.012755102040816327,26.57142857142857,0.2857142857142857,0.010752688172043012,17.42857142857143,0.21428571428571427,0.012295081967213113,12.142857142857142,0.0,0.0,6.642857142857143,0.14285714285714285,0.02150537634408602
07-24,3.928571428571429,191.92857142857144,0.02046892445106066,0.0,0.0,,32.57142857142857,0.7857142857142857,0.024122807017543862,25.07142857142857,1.2142857142857142,0.04843304843304843,27.28571428571429,0.9285714285714285,0.03403141361256544,33.21428571428571,0.5,0.015053763440860218,30.785714285714285,0.2857142857142857,0.009280742459396751,20.785714285714285,0.2857142857142857,0.013745704467353952,14.499999999999998,0.0,0.0,7.642857142857143,0.14285714285714285,0.018691588785046728
07-25,3.928571428571429,191.92857142857144,0.02046892445106066,0.0,0.0,,32.57142857142857,0.7857142857142857,0.024122807017543862,25.07142857142857,1.2142857142857142,0.04843304843304843,27.28571428571429,0.9285714285714285,0.03403141361256544,33.21428571428571,0.5,0.015053763440860218,30.785714285714285,0.2857142857142857,0.009280742459396751,20.785714285714285,0.2857142857142857,0.013745704467353952,14.499999999999998,0.0,0.0,7.642857142857143,0.14285714285714285,0.018691588785046728
07-26,3.928571428571429,191.92857142857144,0.02046892445106066,0.0,0.0,,32.57142857142857,0.7857142857142857,0.024122807017543862,25.07142857142857,1.2142857142857142,0.04843304843304843,27.28571428571429,0.9285714285714285,0.03403141361256544,33.21428571428571,0.5,0.015053763440860218,30.785714285714285,0.2857142857142857,0.009280742459396751,20.785714285714285,0.2857142857142857,0.013745704467353952,14.499999999999998,0.0,0.0,7.642857142857143,0.14285714285714285,0.018691588785046728
07-27,3.142857142857143,137.07142857142856,0.02292860865033872,0.0,0.0,,23.785714285714285,0.5714285714285714,0.024024024024024024,17.5,0.9285714285714286,0.05306122448979592,20.714285714285715,0.7142857142857143,0.034482758620689655,23.142857142857142,0.5,0.021604938271604937,22.42857142857143,0.2857142857142857,0.012738853503184712,14.857142857142858,0.14285714285714285,0.009615384615384614,9.428571428571429,0.0,0.0,5.214285714285714,0.14285714285714285,0.0273972602739726
07-28,3.142857142857143,132.14285714285714,0.023783783783783784,0.0,0.0,,23.0,0.5714285714285714,0.024844720496894408,16.92857142857143,0.9285714285714286,0.05485232067510548,19.785714285714285,0.7142857142857143,0.036101083032490974,22.785714285714285,0.5,0.0219435736677116,21.42857142857143,0.2857142857142857,0.01333333333333333,14.214285714285715,0.14285714285714285,0.010050251256281405,8.928571428571429,0.0,0.0,5.071428571428571,0.14285714285714285,0.028169014084507043
07-29,3.0,119.28571428571428,0.025149700598802397,0.0,0.0,,21.428571428571427,0.5714285714285714,0.02666666666666667,15.285714285714285,0.9285714285714286,0.060747663551401876,18.285714285714285,0.6428571428571428,0.03515625,20.285714285714285,0.5,0.024647887323943664,19.0,0.2857142857142857,0.015037593984962405,12.428571428571427,0.14285714285714285,0.01149425287356322,8.285714285714286,0.0,0.0,4.285714285714286,0.14285714285714285,0.03333333333333333
07-30,4.5,179.21428571428572,0.025109605420486247,0.0,0.0,,31.285714285714285,0.7857142857142857,0.02511415525114155,27.357142857142858,1.4285714285714286,0.05221932114882506,25.92857142857143,0.9285714285714286,0.03581267217630854,29.0,0.8571428571428572,0.02955665024630542,26.285714285714285,0.3571428571428571,0.013586956521739128,19.357142857142854,0.35714285714285715,0.018450184501845022,13.499999999999998,0.0,0.0,6.5,0.07142857142857142,0.010989010989010988
07-31,4.357142857142857,181.64285714285714,0.023987416437278804,0.0,0.0,,31.35714285714286,0.7857142857142857,0.02505694760820045,28.571428571428573,1.4285714285714286,0.049999999999999996,26.5,0.8571428571428572,0.03234501347708895,29.92857142857143,0.8571428571428572,0.028639618138424822,26.35714285714286,0.3571428571428571,0.01355013550135501,19.07142857142857,0.35714285714285715,0.01872659176029963,13.714285714285715,0.0,0.0,6.142857142857143,0.07142857142857142,0.011627906976744184
08-01,4.357142857142857,181.64285714285714,0.023987416437278804,0.0,0.0,,31.35714285714286,0.7857142857142857,0.02505694760820045,28.571428571428573,1.4285714285714286,0.049999999999999996,26.5,0.8571428571428572,0.03234501347708895,29.92857142857143,0.8571428571428572,0.028639618138424822,26.35714285714286,0.3571428571428571,0.01355013550135501,19.07142857142857,0.35714285714285715,0.01872659176029963,13.714285714285715,0.0,0.0,6.142857142857143,0.07142857142857142,0.011627906976744184
08-02,4.357142857142857,181.64285714285714,0.023987416437278804,0.0,0.0,,31.35714285714286,0.7857142857142857,0.02505694760820045,28.571428571428573,1.4285714285714286,0.049999999999999996,26.5,0.8571428571428572,0.03234501347708895,29.92857142857143,0.8571428571428572,0.028639618138424822,26.35714285714286,0.3571428571428571,0.01355013550135501,19.07142857142857,0.35714285714285715,0.01872659176029963,13.714285714285715,0.0,0.0,6.142857142857143,0.07142857142857142,0.011627906976744184
08-03,3.285714285714286,139.07142857142856,0.023626091422701598,0.0,0.0,,24.07142857142857,0.6428571428571428,0.026706231454005934,21.714285714285715,0.7857142857142857,0.036184210526315784,20.142857142857146,0.7857142857142858,0.03900709219858156,23.214285714285715,0.7857142857142858,0.03384615384615385,19.714285714285715,0.21428571428571427,0.010869565217391304,14.642857142857142,0.35714285714285715,0.024390243902439025,11.214285714285715,0.0,0.0,4.357142857142857,0.07142857142857142,0.01639344262295082
